Date UTC,Tube #,CTD cast,Niskin,depth,comments.sampling,drop.sample,field.negative.type,extraction,comments.extraction,qubit.ng.ul,water.filtered.L,elution (ul),Fluor,Zymo columns
7/5/19,135,27-1,sfc,sfc,,,,1/8/20,"Brown pellet. Pipetted by hand due to brown gunk (as noted above). Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.74928,Yes
7/6/19,136,29-1,1,45,,,,1/8/20,"No visible pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,0.12032,
7/6/19,137,29-1,2,45,,,,1/9/20,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.12032,
7/6/19,138,29-1,3,25,,,,1/9/20,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.70308,
7/6/19,139,29-1,4,25,,,,1/9/20,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.70308,
7/6/19,140,29-1,5,sfc,,,,1/8/20,"Brown pellet. Extraction batch 123-136,140 (picked 140 tube instead of 137, no other reason for discontinuity of samples), extraction neg done with this batch.",,2.5,100,1.47941,
7/6/19,141,29-1,6,sfc,,,,1/9/20,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,1.47941,
7/6/19,142,29-1,sfc,sfc,,,,1/9/20,"Dark pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,1.47941,
7/6/19,143,29-1,sfc,sfc,,,,1/9/20,"Dark pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,1.47941,
7/6/19,144,29-2,1,145,,,,1/9/20,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,-0.0016,
7/6/19,145,29-2,2,145,,,,1/9/20,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,-0.0016,
7/6/19,146,29-2,3,100,,,,1/9/20,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.006,
7/6/19,147,29-2,4,100,,,,1/9/20,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.006,
7/6/19,148,29-2,5,50,,,,1/9/20,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.00282,
7/6/19,149,29-2,6,50,,,,1/9/20,"No visible pellet. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.00282,
7/6/19,150,29-2,sfc,sfc,,,,1/9/20,"Extraction btach 137-153, extraction neg with this batch.",,2.5,100,12.1975,Yes
7/6/19,151,29-2,sfc,sfc,,,,1/9/20,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,12.1975,Yes
7/6/19,152,29-4,1,475,,,,1/9/20,"Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.01932,
7/6/19,153,29-4,2,475,,,,1/9/20,"No visible pellet. Pippeted phenol step due to brown gunk above grease. Extraction btach 137-153, extraction neg with this batch.",,2.5,100,0.01932,
7/6/19,154,29-4,3,280,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.00863,
7/6/19,155,29-4,4,280,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.00863,
7/6/19,156,29-4,5,150,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.0025,
7/6/19,157,29-4,6,150,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.0025,
7/6/19,158,29-4,7,100,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,-0.0071,
7/6/19,159,29-4,8,100,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,-0.0071,
7/6/19,160,29-4,9,50,~2.4 L,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.01383,
7/6/19,161,29-4,10,50,,,,1/13/20,No visible pellet. Extraction batch 154-168 plus neg.,,2.5,100,0.01383,
