qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H8,E3,E01,gBlocks,26.343,-0.011,STANDARD,32.981,10,STANDARD,32.102,10,STANDARD,32.102,10
H8,F1,5,gBlocks,26.392,0.039,STANDARD,33.412,5,STANDARD,32.956,5,STANDARD,32.956,5
H8,F2,5,gBlocks,26.392,0.039,STANDARD,34.227,5,STANDARD,32.708,5,STANDARD,32.708,5
H8,F3,5,gBlocks,26.437,0.084,STANDARD,33.797,5,STANDARD,32.692,5,STANDARD,32.692,5
H8,G1,E00,gBlocks,26.198,-0.155,STANDARD,Undetermined,1,STANDARD,34.725,1,STANDARD,34.725,1
H8,G2,E00,gBlocks,26.407,0.054,STANDARD,Undetermined,1,STANDARD,34.261,1,STANDARD,34.261,1
H8,G3,E00,gBlocks,26.480,0.127,UNKNOWN,37.348,0.427179337,UNKNOWN,33.770,2.322918892,STANDARD,33.770,2.322918892
H8,H1,E00,gBlocks,26.307,-0.046,STANDARD,35.357,1,STANDARD,35.813,1,STANDARD,35.813,1
H8,H2,E00,gBlocks,26.363,0.010,STANDARD,36.358,1,STANDARD,34.159,1,STANDARD,34.159,1
H8,H3,E00,gBlocks,26.351,-0.002,STANDARD,36.353,1,STANDARD,34.315,1,STANDARD,34.315,1
H9,A1,E05,gBlocks,29.456,2.771,STANDARD,20.463,100000,STANDARD,20.332,100000,STANDARD,21.141,100000
H9,A2,E05,gBlocks,30.064,3.378,STANDARD,20.198,100000,STANDARD,20.007,100000,STANDARD,20.923,100000
H9,A3,E05,gBlocks,29.331,2.646,STANDARD,20.459,100000,STANDARD,20.218,100000,STANDARD,21.060,100000
H9,B1,E04,gBlocks,26.805,0.120,STANDARD,23.419,10000,STANDARD,23.231,10000,STANDARD,24.040,10000
H9,B2,E04,gBlocks,26.694,0.009,STANDARD,23.570,10000,STANDARD,23.397,10000,STANDARD,24.197,10000
H9,B3,E04,gBlocks,26.407,-0.279,STANDARD,23.690,10000,STANDARD,23.495,10000,STANDARD,24.356,10000
H9,C1,E03,gBlocks,26.425,-0.260,STANDARD,27.067,1000,STANDARD,26.789,1000,STANDARD,27.586,1000
H9,C2,E03,gBlocks,26.554,-0.131,STANDARD,27.061,1000,STANDARD,26.675,1000,STANDARD,27.493,1000
H9,C3,E03,gBlocks,26.529,-0.157,STANDARD,27.165,1000,STANDARD,26.933,1000,STANDARD,27.769,1000
H9,D1,E02,gBlocks,26.684,-0.001,STANDARD,30.234,100,STANDARD,29.696,100,STANDARD,30.841,100
H9,D2,E02,gBlocks,26.837,0.152,STANDARD,30.244,100,STANDARD,29.696,100,STANDARD,30.729,100
H9,D3,E02,gBlocks,26.599,-0.086,STANDARD,30.135,100,STANDARD,29.701,100,STANDARD,30.818,100
H9,E1,E01,gBlocks,26.588,-0.097,STANDARD,33.826,10,STANDARD,33.328,10,STANDARD,34.826,10
H9,E2,E01,gBlocks,26.691,0.006,STANDARD,32.945,10,STANDARD,32.797,10,STANDARD,33.058,10
H9,E3,E01,gBlocks,26.778,0.092,UNKNOWN,35.401,2.478692532,STANDARD,32.904,10,STANDARD,33.524,10
H9,F1,5,gBlocks,26.649,-0.036,STANDARD,34.022,5,STANDARD,33.826,5,STANDARD,34.293,5
H9,F2,5,gBlocks,26.654,-0.031,STANDARD,35.480,5,STANDARD,33.795,5,STANDARD,34.331,5
H9,F3,5,gBlocks,26.655,-0.031,STANDARD,36.112,5,STANDARD,33.903,5,STANDARD,34.009,5
H9,G1,E00,gBlocks,26.761,0.076,STANDARD,35.973,1,UNKNOWN,36.570,0.5855757,STANDARD,Undetermined,1
H9,G2,E00,gBlocks,26.642,-0.043,STANDARD,Undetermined,1,STANDARD,36.026,1,STANDARD,36.085,1
H9,G3,E00,gBlocks,26.735,0.050,STANDARD,36.741,1,STANDARD,35.398,1,STANDARD,35.981,1
H9,H1,E00,gBlocks,26.666,-0.020,STANDARD,35.930,1,UNKNOWN,35.398,1.398740292,STANDARD,37.666,1
