qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H10,C2,E03,gBlocks,26.30881119,-0.226,STANDARD,25.61685181,1000,STANDARD,25.18784523,1000,STANDARD,26.22020721,1000
H10,C3,E03,gBlocks,26.23502541,-0.299,STANDARD,25.54725456,1000,STANDARD,25.30969048,1000,STANDARD,26.42909241,1000
H10,D1,E02,gBlocks,26.4217968,-0.113,STANDARD,28.58123207,100,STANDARD,28.33216095,100,STANDARD,29.38184166,100
H10,D2,E02,gBlocks,26.51338387,-0.021,STANDARD,28.74431801,100,STANDARD,28.32715225,100,STANDARD,29.62052917,100
H10,D3,E02,gBlocks,26.42851448,-0.106,STANDARD,28.70906448,100,STANDARD,28.07132149,100,STANDARD,29.47710037,100
H10,E1,E01,gBlocks,26.41827011,-0.116,STANDARD,32.27671432,10,STANDARD,32.01375198,10,STANDARD,33.07964325,10
H10,E2,E01,gBlocks,26.4598732,-0.075,STANDARD,32.06320953,10,STANDARD,31.23359299,10,STANDARD,32.8548584,10
H10,E3,E01,gBlocks,26.79559135,0.261,STANDARD,32.28143692,10,STANDARD,31.47502136,10,STANDARD,33.34383392,10
H10,F1,5,gBlocks,26.3624382,-0.172,STANDARD,32.97550201,5,STANDARD,31.96565819,5,STANDARD,34.67418289,5
H10,F2,5,gBlocks,26.90387154,0.369,STANDARD,33.24016953,5,STANDARD,32.81119156,5,UNKNOWN,35.38884735,2.050184965
H10,F3,5,gBlocks,26.5318203,-0.003,STANDARD,33.40985107,5,STANDARD,32.46673584,5,STANDARD,34.03152847,5
H10,G1,E00,gBlocks,26.54860687,0.014,STANDARD,34.70351791,1,STANDARD,35.34728622,1,STANDARD,35.12576675,1
H10,G2,E00,gBlocks,26.83676338,0.302,STANDARD,37.46430206,1,STANDARD,35.85052872,1,STANDARD,37.82787704,1
H10,G3,E00,gBlocks,26.53310394,-0.001,STANDARD,35.54164886,1,STANDARD,34.32649231,1,STANDARD,36.07514572,1
H10,H1,E00,gBlocks,26.47099876,-0.063,STANDARD,34.07661057,1,STANDARD,34.3014946,1,STANDARD,35.52490997,1
H10,H2,E00,gBlocks,26.38569832,-0.149,STANDARD,36.09486008,1,STANDARD,34.78105545,1,STANDARD,36.52998352,1
H10,H3,E00,gBlocks,26.76809692,0.234,STANDARD,35.89563751,1,STANDARD,34.72385406,1,STANDARD,37.69700623,1
H11,A1,E05,gBlocks,28.79008293,2.659,STANDARD,19.74529839,100000,STANDARD,19.46907616,100000,STANDARD,20.96756744,100000
H11,A2,E05,gBlocks,29.13692856,3.006,STANDARD,19.50475883,100000,STANDARD,19.14174652,100000,STANDARD,20.66946411,100000
H11,A3,E05,gBlocks,28.28555298,2.155,STANDARD,19.72293472,100000,STANDARD,19.31298637,100000,STANDARD,20.81807327,100000
H11,B1,E04,gBlocks,26.43987083,0.309,STANDARD,22.89759445,10000,STANDARD,22.5218029,10000,STANDARD,24.04235268,10000
H11,B2,E04,gBlocks,26.21443748,0.083,STANDARD,22.91172981,10000,STANDARD,22.62896538,10000,STANDARD,24.0109005,10000
H11,B3,E04,gBlocks,26.17457581,0.044,STANDARD,23.0451107,10000,STANDARD,22.73501396,10000,STANDARD,24.19662285,10000
H11,C1,E03,gBlocks,26.21180153,0.081,STANDARD,26.01397133,1000,STANDARD,25.62585831,1000,STANDARD,27.06693459,1000
H11,C2,E03,gBlocks,26.24239349,0.111,STANDARD,25.9975853,1000,STANDARD,25.48649025,1000,STANDARD,26.94303322,1000
H11,C3,E03,gBlocks,26.15117073,0.020,STANDARD,25.94389153,1000,STANDARD,25.57224274,1000,STANDARD,27.17868996,1000
H11,D1,E02,gBlocks,26.38025475,0.249,STANDARD,28.94275856,100,STANDARD,28.61872673,100,STANDARD,29.95362473,100
H11,D2,E02,gBlocks,26.39134216,0.260,STANDARD,28.94823647,100,STANDARD,28.50560951,100,STANDARD,29.86219978,100
H11,D3,E02,gBlocks,26.37788391,0.247,STANDARD,28.86252975,100,STANDARD,28.34442139,100,STANDARD,29.90158653,100
H11,E1,E01,gBlocks,26.28204727,0.151,STANDARD,32.09130859,10,STANDARD,31.99143028,10,STANDARD,34.20144653,10
H11,E2,E01,gBlocks,26.42213631,0.291,STANDARD,31.94571114,10,STANDARD,32.13766479,10,STANDARD,33.60239029,10
H11,E3,E01,gBlocks,26.36122322,0.230,STANDARD,32.77703094,10,STANDARD,31.69382858,10,STANDARD,33.72949219,10
H11,F1,5,gBlocks,26.35439873,0.223,STANDARD,32.90293121,5,STANDARD,32.87976456,5,STANDARD,34.66492462,5
H11,F2,5,gBlocks,26.39188385,0.261,STANDARD,33.28230667,5,STANDARD,32.8225174,5,STANDARD,34.86914825,5
H11,F3,5,gBlocks,26.31341362,0.182,STANDARD,33.4274559,5,STANDARD,32.20907974,5,STANDARD,34.72941589,5
H11,G1,E00,gBlocks,26.46989632,0.339,STANDARD,35.74461746,1,STANDARD,36.23417664,1,STANDARD,36.10154343,1
H11,G2,E00,gBlocks,26.29982185,0.169,STANDARD,35.31903076,1,STANDARD,34.15987778,1,STANDARD,36.2490921,1
H11,G3,E00,gBlocks,26.48319626,0.352,STANDARD,34.59737396,1,STANDARD,34.88951111,1,STANDARD,Undetermined,1
H11,H1,E00,gBlocks,26.3101902,0.179,STANDARD,35.83089066,1,STANDARD,34.78654099,1,STANDARD,37.15288544,1
