qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul,lamprey_Ct,lamprey_copies_ul,eulachon_Ct,eulachon_copies_ul,hake.confirmed,lamprey.confirmed,eulachon.confirmed
H38,G17,1815,unknowns,UNKNOWN,26.547,0.073,,,0.20,37.586,0.812,Undetermined,,Undetermined,,,,
H38,G18,1815,unknowns,UNKNOWN,26.784,0.310,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,G19,1855,unknowns,UNKNOWN,26.762,0.288,,,0.20,35.929,2.658,Undetermined,,Undetermined,,,,
H38,G20,1855,unknowns,UNKNOWN,26.640,0.166,,,0.20,35.492,3.634,Undetermined,,Undetermined,,,,
H38,G21,1855,unknowns,UNKNOWN,26.682,0.208,,,0.20,36.019,2.492,Undetermined,,Undetermined,,,,
H38,G22,463,unknowns,UNKNOWN,28.565,2.091,NO,YES,0.50,35.906,2.701,Undetermined,,Undetermined,,,,
H38,G23,463,unknowns,UNKNOWN,31.319,4.845,NO,YES,0.50,36.859,1.366,Undetermined,,Undetermined,,,,
H38,G24,463,unknowns,UNKNOWN,29.202,2.728,NO,YES,0.50,35.243,4.341,Undetermined,,Undetermined,,,,
H38,H4,1510,unknowns,UNKNOWN,26.624,0.150,,,0.20,Undetermined,,Undetermined,,37.738,1.392,,,
H38,H5,1510,unknowns,UNKNOWN,26.631,0.157,,,0.20,38.164,0.537,Undetermined,,39.183,0.498,,,
H38,H6,1510,unknowns,UNKNOWN,26.790,0.316,,,0.20,37.365,0.952,Undetermined,,39.373,0.435,,,
H38,H7,1537,unknowns,UNKNOWN,26.574,0.100,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H8,1537,unknowns,UNKNOWN,26.531,0.057,,,0.20,41.966,0.035,Undetermined,,Undetermined,,,,
H38,H9,1537,unknowns,UNKNOWN,26.611,0.137,,,0.20,Undetermined,,Undetermined,,37.573,1.567,,,
H38,H10,1597,unknowns,UNKNOWN,26.354,-0.120,,,0.20,36.151,2.267,Undetermined,,Undetermined,,,,
H38,H11,1597,unknowns,UNKNOWN,26.504,0.030,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H12,1597,unknowns,UNKNOWN,26.367,-0.107,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H13,1719,unknowns,UNKNOWN,26.639,0.165,,,0.20,37.111,1.141,Undetermined,,Undetermined,,,,
H38,H14,1719,unknowns,UNKNOWN,26.389,-0.085,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H15,1719,unknowns,UNKNOWN,26.306,-0.168,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H16,1818,unknowns,UNKNOWN,26.490,0.016,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,H17,1818,unknowns,UNKNOWN,26.528,0.054,,,0.20,35.844,2.825,Undetermined,,Undetermined,,,,
H38,H18,1818,unknowns,UNKNOWN,26.401,-0.073,,,0.20,38.181,0.531,Undetermined,,Undetermined,,,,
H38,H19,1856,unknowns,UNKNOWN,26.429,-0.045,,,0.20,34.420,7.823,Undetermined,,Undetermined,,,,
H38,H20,1856,unknowns,UNKNOWN,26.608,0.134,,,0.20,34.448,7.664,Undetermined,,Undetermined,,,,
H38,H21,1856,unknowns,UNKNOWN,26.718,0.244,,,0.20,33.780,12.363,Undetermined,,Undetermined,,,,
H38,H22,470,unknowns,UNKNOWN,28.892,2.418,NO,YES,0.50,38.251,0.505,Undetermined,,Undetermined,,,,
H38,H23,470,unknowns,UNKNOWN,32.647,6.173,NO,YES,0.50,43.445,0.012,Undetermined,,Undetermined,,,,
H38,H24,470,unknowns,UNKNOWN,32.022,5.548,NO,YES,0.50,42.370,0.027,Undetermined,,Undetermined,,,,
H38,I1,1867,unknowns,UNKNOWN,26.570,0.096,,,0.20,32.792,25.070,Undetermined,,Undetermined,,,,
H38,I2,1867,unknowns,UNKNOWN,26.595,0.121,,,0.20,32.515,30.550,Undetermined,,Undetermined,,,,
H38,I3,1867,unknowns,UNKNOWN,26.828,0.354,,,0.20,32.987,21.803,Undetermined,,Undetermined,,,,
H38,I4,6,unknowns,UNKNOWN,26.681,0.207,,,0.20,36.576,1.673,Undetermined,,Undetermined,,,,
H38,I5,6,unknowns,UNKNOWN,26.623,0.149,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,I6,6,unknowns,UNKNOWN,27.034,0.560,,,0.20,35.894,2.726,Undetermined,,Undetermined,,,,
H38,I7,176,unknowns,UNKNOWN,26.580,0.106,,,0.20,31.915,46.945,Undetermined,,Undetermined,,,,
H38,I8,176,unknowns,UNKNOWN,26.919,0.445,,,0.20,32.151,39.648,Undetermined,,Undetermined,,,,
H38,I9,176,unknowns,UNKNOWN,26.899,0.425,,,0.20,31.848,49.256,Undetermined,,Undetermined,,,,
H38,I10,277,unknowns,UNKNOWN,26.808,0.334,,,0.20,36.599,1.646,Undetermined,,Undetermined,,,,
H38,I11,277,unknowns,UNKNOWN,26.571,0.097,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,I12,277,unknowns,UNKNOWN,26.932,0.458,,,0.20,37.637,0.783,Undetermined,,Undetermined,,,,
H38,I15,359,unknowns,UNKNOWN,37.776,11.302,NO,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,I16,430,unknowns,UNKNOWN,26.683,0.209,,,0.20,39.317,0.236,Undetermined,,Undetermined,,,,
H38,I17,430,unknowns,UNKNOWN,26.623,0.149,,,0.20,39.318,0.235,Undetermined,,Undetermined,,,,
H38,I18,430,unknowns,UNKNOWN,26.608,0.134,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,I19,277,unknowns,UNKNOWN,26.744,0.270,,YES,0.50,Undetermined,,Undetermined,,Undetermined,,,,
H38,I20,277,unknowns,UNKNOWN,26.914,0.440,,YES,0.50,Undetermined,,Undetermined,,Undetermined,,,,
H38,I21,277,unknowns,UNKNOWN,26.821,0.347,,YES,0.50,37.972,0.617,Undetermined,,Undetermined,,,,
H38,I22,359,unknowns,UNKNOWN,26.648,0.174,,YES,0.50,Undetermined,,Undetermined,,Undetermined,,,,
H38,I23,359,unknowns,UNKNOWN,26.664,0.190,,YES,0.50,40.255,0.120,Undetermined,,Undetermined,,,,
H38,I24,359,unknowns,UNKNOWN,26.928,0.454,,YES,0.50,41.000,0.071,Undetermined,,Undetermined,,,,
H38,J1,1868,unknowns,UNKNOWN,26.658,0.184,,,0.20,37.052,1.191,Undetermined,,Undetermined,,,,
H38,J2,1868,unknowns,UNKNOWN,26.824,0.350,,,0.20,35.041,5.017,Undetermined,,Undetermined,,,,
H38,J3,1868,unknowns,UNKNOWN,26.844,0.370,,,0.20,35.686,3.162,Undetermined,,Undetermined,,,,
H38,J4,105,unknowns,UNKNOWN,26.536,0.062,,,0.20,30.443,134.508,Undetermined,,Undetermined,,,,
H38,J5,105,unknowns,UNKNOWN,26.744,0.270,,,0.20,30.305,148.528,Undetermined,,Undetermined,,,,
H38,J6,105,unknowns,UNKNOWN,26.775,0.301,,,0.20,30.167,163.875,Undetermined,,Undetermined,,,,
H38,J7,186,unknowns,UNKNOWN,26.603,0.129,,,0.20,33.758,12.564,Undetermined,,Undetermined,,,,
H38,J8,186,unknowns,UNKNOWN,26.823,0.349,,,0.20,33.265,17.876,Undetermined,,Undetermined,,,,
H38,J9,186,unknowns,UNKNOWN,26.850,0.376,,,0.20,32.736,26.084,Undetermined,,Undetermined,,,,
H38,J10,278,unknowns,UNKNOWN,26.670,0.196,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,J11,278,unknowns,UNKNOWN,26.631,0.157,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,J12,278,unknowns,UNKNOWN,26.838,0.364,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,J14,370,unknowns,UNKNOWN,26.461,-0.013,,,0.20,33.099,20.118,Undetermined,,Undetermined,,,,
H38,J15,370,unknowns,UNKNOWN,27.947,1.473,,,0.20,32.674,27.279,Undetermined,,Undetermined,,,,
H38,J16,441,unknowns,UNKNOWN,26.451,-0.023,,,0.20,39.418,0.219,Undetermined,,Undetermined,,,,
H38,J17,441,unknowns,UNKNOWN,26.776,0.302,,,0.20,39.436,0.216,Undetermined,,Undetermined,,,,
H38,J18,441,unknowns,UNKNOWN,26.590,0.116,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,J19,278,unknowns,UNKNOWN,26.602,0.128,,YES,0.50,Undetermined,,Undetermined,,Undetermined,,,,
H38,J20,278,unknowns,UNKNOWN,26.647,0.173,,YES,0.50,39.004,0.295,Undetermined,,Undetermined,,,,
H38,J21,278,unknowns,UNKNOWN,26.704,0.230,,YES,0.50,37.758,0.719,Undetermined,,Undetermined,,,,
H38,J22,370,unknowns,UNKNOWN,26.587,0.113,,YES,0.50,33.409,16.116,Undetermined,,Undetermined,,,,
H38,J23,370,unknowns,UNKNOWN,26.492,0.018,,YES,0.50,33.631,13.750,Undetermined,,Undetermined,,,,
H38,J24,370,unknowns,UNKNOWN,26.604,0.130,,YES,0.50,32.993,21.716,Undetermined,,Undetermined,,,,
H38,K1,1879,unknowns,UNKNOWN,26.620,0.146,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,K2,1879,unknowns,UNKNOWN,26.575,0.101,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,K3,1879,unknowns,UNKNOWN,26.612,0.138,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,K4,106,unknowns,UNKNOWN,26.536,0.062,,,0.20,37.108,1.144,Undetermined,,Undetermined,,,,
H38,K5,106,unknowns,UNKNOWN,26.674,0.200,,,0.20,41.597,0.046,Undetermined,,Undetermined,,,,
H38,K6,106,unknowns,UNKNOWN,26.656,0.182,,,0.20,Undetermined,,Undetermined,,Undetermined,,,,
H38,K7,187,unknowns,UNKNOWN,26.610,0.136,,,0.20,36.525,1.735,Undetermined,,Undetermined,,,,
H38,K8,187,unknowns,UNKNOWN,26.594,0.120,,,0.20,35.932,2.653,Undetermined,,Undetermined,,,,
H38,K9,187,unknowns,UNKNOWN,26.911,0.437,,,0.20,36.925,1.303,Undetermined,,Undetermined,,,,
H38,K10,309,unknowns,UNKNOWN,26.677,0.203,,,0.20,35.899,2.716,Undetermined,,Undetermined,,,,
H38,K11,309,unknowns,UNKNOWN,26.586,0.112,,,0.20,38.637,0.383,Undetermined,,Undetermined,,,,
H38,K12,309,unknowns,UNKNOWN,26.664,0.190,,,0.20,34.643,6.670,Undetermined,,Undetermined,,,,
H38,K13,371,unknowns,UNKNOWN,26.693,0.219,,,0.20,36.549,1.706,Undetermined,,Undetermined,,,,
H38,K14,371,unknowns,UNKNOWN,26.536,0.062,,,0.20,36.06,2.419,Undetermined,,Undetermined,,,,
H38,K15,371,unknowns,UNKNOWN,26.88,0.406,,,0.20,38.865,0.325,Undetermined,,Undetermined,,,,
