Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
1770-2,16S_Prey,85713,66442,66343,66359,66088,66088,58736
1779-1,16S_Prey,40836,4773,4767,4772,4435,4435,4435
1779-2,16S_Prey,35168,10270,10236,10265,10088,10088,9284
985-2,16S_Prey,46472,6978,6924,6975,6881,6881,6826
985-3,16S_Prey,101662,33924,33903,33918,33269,33269,33150
1004-2,16S_Prey,43885,27431,27307,27361,27053,27053,24720
1205-1,16S_Prey,130255,96501,96320,96432,95425,95425,88412
1205-2,16S_Prey,123333,62296,62066,62248,61419,61419,58027
1205-3,16S_Prey,22639,1479,1445,1471,1432,1432,1432
1205-4,16S_Prey,113898,49100,49076,49092,48685,48685,48117
1206-1,16S_Prey,116862,55335,54858,55256,53906,53906,47423
1206-2,16S_Prey,101301,38052,37866,37898,36658,36658,33146
1206-3,16S_Prey,50272,19862,19715,19840,19283,19283,17674
1206-4,16S_Prey,114999,70879,70805,70855,66941,66941,64747
1207-1,16S_Prey,91268,61205,60752,61003,58617,58617,48223
1207-2,16S_Prey,68351,35402,35198,35374,34202,34202,29251
1208-1,16S_Prey,139642,77587,77434,77537,75537,75537,60841
1208-2,16S_Prey,93927,68535,68214,68438,66918,66918,57984
1538-1,16S_Prey,68060,52172,51873,52094,50805,50805,41295
1538-2,16S_Prey,216647,183951,183578,183360,180970,180970,147411
1538-3,16S_Prey,45459,13931,13906,13900,13666,13666,12259
1538-4,16S_Prey,119712,82396,82234,82254,81023,81023,67993
1539-1,16S_Prey,31561,18127,18065,18011,17806,17806,16388
1539-2,16S_Prey,74057,42182,41867,42086,41251,41251,35747
1540-1,16S_Prey,44686,21801,21701,21728,21308,21308,16992
1540-2,16S_Prey,83613,33533,33366,33510,33077,33077,29132
1540-3,16S_Prey,120622,94982,94826,94940,93807,93807,79696
1573-1,16S_Prey,68449,40731,40625,40699,40462,40462,37391
1573-2,16S_Prey,90708,62310,61899,62222,61330,61330,53660
1574-1,16S_Prey,108691,74481,74222,74305,72584,72584,59344
1574-2,16S_Prey,48612,31958,31872,31911,31602,31602,26523
1719-1,16S_Prey,100464,59023,58947,58998,58713,58713,58464
1719-2,16S_Prey,45093,9381,9368,9374,9344,9344,9267
64-1,16S_Prey,184445,159695,159573,159685,158274,158274,156694
64-2,16S_Prey,187387,164511,164416,164123,160561,160561,159680
65-1,16S_Prey,139840,113197,113023,113181,111754,111754,106035
65-2,16S_Prey,173744,144892,144673,144713,141953,141953,124021
71-1,16S_Prey,59704,16303,16253,16284,16094,16094,14409
71-2,16S_Prey,98859,70372,70353,70364,69570,69570,68059
73-1,16S_Prey,161092,135088,134824,134918,131092,131092,126093
73-2,16S_Prey,48784,26620,26611,26596,26480,26480,25547
310-1,16S_Prey,275025,238469,238459,238454,235424,235424,227412
310-2,16S_Prey,219740,179642,179494,179430,178306,178306,165605
311-1,16S_Prey,125669,90916,90866,90877,90234,90234,87100
334-1,16S_Prey,54016,36938,36896,36897,36817,36817,35571
334-2,16S_Prey,118957,91076,90908,91066,89731,89731,76817
335-1,16S_Prey,240675,206803,206257,206067,202032,202032,166160
335-2,16S_Prey,122681,84597,84583,84409,83481,83481,77003
478-1,16S_Prey,205783,176573,176515,176528,175562,175562,162681
478-2,16S_Prey,56719,34739,34518,34726,34209,34209,34208
479-1,16S_Prey,61457,34083,34079,34076,33584,33584,33300
479-2,16S_Prey,206195,179184,179169,178901,172387,172387,172120
502-1,16S_Prey,89900,62367,62347,62362,61755,61755,61279
793-1,16S_Prey,205067,169420,169066,169366,167606,167606,150353
793-2,16S_Prey,234078,199361,199262,198930,195962,195962,185348
794-1,16S_Prey,206302,174309,174162,174114,172219,172219,159106
794-2,16S_Prey,262657,226314,226000,225789,222436,222436,187925
839-1,16S_Prey,44006,16973,16941,16840,16780,16780,16708
986-1,16S_Prey,33576,4342,4323,4337,4278,4278,4220
986-2,16S_Prey,73272,17732,17717,17717,17447,17447,17253
977-1,16S_Prey,244350,206284,206205,205859,204320,204320,185365
977-2,16S_Prey,148931,82786,82750,82751,81666,81666,75924
978-1,16S_Prey,213106,179729,179623,179718,178227,178227,177752
995-1,16S_Prey,66835,32132,31969,32126,31659,31659,30861
995-2,16S_Prey,33274,13672,13661,13666,13632,13632,13601
1001-1,16S_Prey,182323,153332,153098,153171,150733,150733,130032
1001-2,16S_Prey,192968,163131,162762,163051,160299,160299,128477
1002-1,16S_Prey,167294,142875,142693,142792,139816,139816,110018
1002-2,16S_Prey,125928,98963,98848,98713,98366,98366,91766
1219-1,16S_Prey,197913,155512,155371,155489,136897,136897,125194
1219-2,16S_Prey,224178,189711,189245,189684,186371,186371,173985
1220-1,16S_Prey,133962,97672,97618,97636,93878,93878,87705
1220-2,16S_Prey,212400,182235,181914,182011,176992,176992,156290
1265-1,16S_Prey,105230,64380,64257,64375,64038,64038,62733
1265-2,16S_Prey,163426,134393,134386,134258,132452,132452,132237
1266-1,16S_Prey,139278,108307,108031,108274,107849,107849,107596
1266-2,16S_Prey,105107,81837,81830,81774,79428,79428,79296
1543-1,16S_Prey,241596,206822,206505,206708,203599,203599,159979
1543-2,16S_Prey,221552,189419,189247,189370,187175,187175,173869
1544-1,16S_Prey,187814,158661,158063,158237,152249,152249,94352
1544-2,16S_Prey,222964,195490,195008,195320,193398,193398,172266
72-1,16S_Prey,49104,26531,26530,26525,26376,26376,26354
1228-1,16S_Prey,81719,16150,16116,16136,15982,15982,15365
1228-2,16S_Prey,46808,14478,14464,14471,14303,14303,14068
503-1,16S_Prey,97007,62305,62287,62301,61556,61556,61171
840-1,16S_Prey,86983,49160,49134,49089,48951,48951,48679
996-1,16S_Prey,709,338,333,330,317,317,317
1541-1,16S_Prey,69319,27488,27444,27471,27361,27361,26217
68-1,16S_Prey,41081,4879,4870,4870,4516,4516,4510
80-1,16S_Prey,68575,3404,3397,3399,3360,3360,3360
462-1,16S_Prey,38899,13286,13277,13282,13274,13274,13214
462-2,16S_Prey,224699,188710,188581,188498,187084,187084,186983
799-1,16S_Prey,146697,94718,94646,94660,93908,93908,92697
799-2,16S_Prey,170261,136736,136730,136509,136503,136503,135624
1575-1,16S_Prey,224028,190117,190109,190102,186518,186518,179209
997-1,16S_Prey,63609,46743,46740,46738,45889,45889,45882
Tilapia-1,16S_Prey,204226,171530,171507,171518,171348,171348,171348
Tilapia-2,16S_Prey,216442,180779,180482,180771,180348,180348,180343
