Sample_name,Locus,file1,file2
1001-2,16S_Prey,Locus_16S_Prey_1001-2_S101_L001_R1_001.fastq,Locus_16S_Prey_1001-2_S101_L001_R2_001.fastq
1002-1,16S_Prey,Locus_16S_Prey_1002-1_S102_L001_R1_001.fastq,Locus_16S_Prey_1002-1_S102_L001_R2_001.fastq
1002-2,16S_Prey,Locus_16S_Prey_1002-2_S103_L001_R1_001.fastq,Locus_16S_Prey_1002-2_S103_L001_R2_001.fastq
1219-1,16S_Prey,Locus_16S_Prey_1219-1_S104_L001_R1_001.fastq,Locus_16S_Prey_1219-1_S104_L001_R2_001.fastq
1219-2,16S_Prey,Locus_16S_Prey_1219-2_S105_L001_R1_001.fastq,Locus_16S_Prey_1219-2_S105_L001_R2_001.fastq
1220-1,16S_Prey,Locus_16S_Prey_1220-1_S106_L001_R1_001.fastq,Locus_16S_Prey_1220-1_S106_L001_R2_001.fastq
1220-2,16S_Prey,Locus_16S_Prey_1220-2_S107_L001_R1_001.fastq,Locus_16S_Prey_1220-2_S107_L001_R2_001.fastq
1265-1,16S_Prey,Locus_16S_Prey_1265-1_S108_L001_R1_001.fastq,Locus_16S_Prey_1265-1_S108_L001_R2_001.fastq
1265-2,16S_Prey,Locus_16S_Prey_1265-2_S109_L001_R1_001.fastq,Locus_16S_Prey_1265-2_S109_L001_R2_001.fastq
1266-1,16S_Prey,Locus_16S_Prey_1266-1_S110_L001_R1_001.fastq,Locus_16S_Prey_1266-1_S110_L001_R2_001.fastq
1266-2,16S_Prey,Locus_16S_Prey_1266-2_S111_L001_R1_001.fastq,Locus_16S_Prey_1266-2_S111_L001_R2_001.fastq
1543-1,16S_Prey,Locus_16S_Prey_1543-1_S112_L001_R1_001.fastq,Locus_16S_Prey_1543-1_S112_L001_R2_001.fastq
1543-2,16S_Prey,Locus_16S_Prey_1543-2_S113_L001_R1_001.fastq,Locus_16S_Prey_1543-2_S113_L001_R2_001.fastq
