Date UTC,Tube #,CTD cast,Niskin,depth,comments,water.filtered.L,drop.sample,field.negative.type,Filter size (un),extraction,Extraction technician,elution (ul),comments,qubit (ng/ul),Fluor,Zymo columns,
7/4/21,112,x5_500.1,4,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,113,x5_500.1,5,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,114,x5_500.1,6,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,115,x5_500.1,9,150,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,116,x5_500.1,10,50,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,117,x5_500.1,11,50,,2.5,,,1,20211026,,100,,,,,
7/4/21,118,x5_500,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,119,x5_500,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,120,x5_500,2,490,,2.5,,,1,20211026,,100,,,,,
7/4/21,121,x5_500,3,490,,2.5,,,1,20211026,,100,,,,,
7/4/21,122,x5_500,4,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,123,x5_500,5,300,,2.5,,,1,20211026,,100,,,,,
7/4/21,124,x5_500,6,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,125,x5_500,7,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,126,x5_500,8,150,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,127,x5_500,9,150,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,128,x5_500,10,50,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,129,x5_500,11,50,ST,2.5,,,1,20211026,,100,,,,,
7/4/21,130,x5_300,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,131,x5_300,sfc,sfc,,2.5,,,1,20211026,,100,visible DNA pellet,,,,
7/4/21,132,x5_300,2,280,,2.5,,,1,20211026,,100,,,,,
7/4/21,133,x5_300,3,280,,2.5,,,1,20211026,,100,,,,,
7/4/21,134,x5_300,4,200,,2.5,,,1,20211026,,100,,,,,
7/4/21,135,x5_300,5,200,PAL,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/4/21,136,x5_300,6,150,PAL,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/4/21,137,x5_300,7,150,PAL,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/4/21,138,x5_300,8,50,ST,2.5,,,1,20211027,,100,,,,,
7/4/21,139,x5_300,9,50,ST,2.5,,,1,20211027,,100,"visible DNA pellet,needed second day for drying ethanol",,,,
7/4/21,140,x5_150,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/4/21,141,x5_150,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/4/21,142,x5_150,2,140,,2.5,,,1,20211027,,100,,,,,
7/4/21,143,x5_150,3,140,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/4/21,144,x5_150,4,50,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/4/21,145,x5_150,5,50,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,146,x7_50,sfc,sfc,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,147,x7_50,sfc,sfc,,2.5,,,1,20211027,,100,visible DNA pellet,,,,
7/5/2021,148,x7_50,2,48,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,149,x7_50,3,48,ST,2.5,,,1,20211027,,100,,,,,
7/5/2021,150,x7_150,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,151,x7_150,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,152,x7_150,2,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,153,x7_150,3,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,154,x7_150,4,50,ST,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,155,x7_150,5,50,,2.5,,,1,20211027,,100,visible DNA pellet,,,,
7/5/2021,156,x7_300,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,157,x7_300,sfc,sfc,,2.5,,,1,20211027,,100,visible DNA pellet,,,,
7/5/2021,158,x7_300,2,280,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,159,x7_300,3,280,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,160,x7_300,4,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,161,x7_300,5,200,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,162,x7_300,6,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,163,x7_300,7,150,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,164,x7_300,8,50,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,165,x7_300,9,50,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,166,X7_500,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,167,X7_500,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,168,X7_500,2,490,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,169,X7_500,3,490,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,170,X7_500,4,300,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,171,X7_500,5,300,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,172,X7_500,6,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,173,X7_500,7,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,174,X7_500,8,150,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,175,X7_500,9,150,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,176,X7_500,10,50,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,177,X7_500,11,50,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,178,x7_500.1,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,179,x7_500.1,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/5/2021,180,x7_500.1,2,500,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,181,x7_500.1,3,500,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,182,x7_500.1,4,300,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,183,x7_500.1,5,300,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,184,x7_500.1,6,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,185,x7_500.1,7,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,186,x7_500.1,8,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,187,x7_500.1,9,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,188,x7_500.1,10,50,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,189,x7_500.1,11,50,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,190,N/A,N/A,N/A,"Lab DI, 2 L, reusable",2,,Lab.H2O.reuse,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,191,N/A,N/A,N/A,"Lab DI, 2L, single use (0.45)",2,,Lab.H2O.dispose,0.45,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,192,N/A,N/A,N/A,"Ship DI, 2.5L, reusable",2.5,,Evap.H2O.reuse,1,20211027,,100,needed second day for drying ethanol,,,,
7/5/2021,193,N/A,N/A,N/A,"Ship DI, 2.5L, single use (0.45)",2.5,,Evap.H2O.dispose,0.45,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,194,N/A,N/A,N/A,"Ship DI, 2.5L, reusable",2.5,,Evap.H2O.reuse,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,195,N/A,N/A,N/A,"Ship DI, 2.5L, single use (0.45)",2.5,,Evap.H2O.dispose,0.45,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,196,x9_1500,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/6/2021,197,x9_1500,sfc,sfc,,2.5,,,1,20211027,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/6/2021,198,x9_1500,2,500,ST,2.5,,,1,20211027,,100,,,,,
7/6/2021,199,x9_1500,3,500,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,200,x9_1500,4,300,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,201,x9_1500,5,300,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,202,x9_1500,6,200,ST,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,203,x9_1500,7,200,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,204,x9_1500,8,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,205,x9_1500,9,150,,2.5,,,1,20211027,,100,needed second day for drying ethanol,,,,
7/6/2021,206,x9_1500,10,50,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,207,x9_1500,11,50,,2.5,,,1,20211028,,100,,,,,
7/6/2021,208,x9_500,sfc,sfc,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,209,x9_500,sfc,sfc,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,210,x9_500,2,480,ST,2.5,,,1,20211028,,100,,,,,
7/6/2021,211,x9_500,3,480,ST,2.5,,,1,20211028,,100,,,,,
7/6/2021,212,x9_500,4,300,ST,2.5,,,1,20211028,,100,,,,,
7/6/2021,213,x9_500,5,300,ST,2.5,,,1,20211028,,100,,,,,
7/6/2021,214,x9_500,6,200,,2.5,,,1,20211028,,100,,,,,
7/6/2021,215,x9_500,7,200,,2.5,,,1,20211028,,100,,,,,
7/6/2021,216,x9_500,8,150,,2.5,,,1,20211028,,100,,,,,
7/6/2021,217,x9_500,9,150,,2.5,,,1,20211028,,100,,,,,
7/6/2021,218,x9_500,10,50,,2.5,,,1,20211028,,100,,,,,
7/6/2021,219,x9_500,11,50,,2.5,,,1,20211028,,100,,,,,
7/6/2021,220,x9_300,sfc,sfc,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,221,x9_300,sfc,sfc,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,222,x9_300,2,290,PAL,2.5,,,1,20211028,,100,,,,,
7/6/2021,223,x9_300,3,290,PAL,2.5,,,1,20211028,,100,,,,,
7/6/2021,224,x9_300,6,150,PAL,2.5,,,1,20211028,,100,,,,,
7/6/2021,225,x9_300,7,150,ST,2.5,,,1,20211028,,100,,,,,
7/6/2021,226,x9_300,8,50,ST,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,227,x9_300,9,50,ST,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,228,x9_150,sfc,sfc,,2.5,,,1,20211028,,100,visible DNA pellet,,,,
7/6/2021,229,x9_150,sfc,sfc,,2.5,,,1,20211028,,100,,,,,
7/6/2021,230,x9_150,2,150,PAL,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/6/2021,231,x9_150,3,150,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/6/2021,232,x9_150,4,50,PAL,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/6/2021,233,x9_150,5,50,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/6/2021,234,x9_50,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/6/2021,235,x9_50,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/6/2021,236,x9_50,2,40,PAL,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/6/2021,237,x9_50,3,40,ST,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,238,x13_500.1,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,239,x13_500.1,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,240,x13_500.1,2,500,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,241,x13_500.1,3,500,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,242,x13_500.1,4,300,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,243,x13_500.1,5,300,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,244,x13_500.1,6,200,PAL,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,245,x13_500.1,7,200,PAL,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,246,x13_500.1,8,150,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,247,x13_500.1,9,150,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,248,x13_500.1,11,50,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,249,x13_500.2,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,250,x13_500.2,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,251,x13_500.2,2,500,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,252,x13_500.2,3,500,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,253,x13_500.2,4,300,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,254,x13_500.2,5,300,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,255,x13_500.2,6,200,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,256,x13_500.2,7,200,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,257,x13_500.2,8,150,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,258,x13_500.2,9,150,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,259,x13_500.2,10,50,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,260,x13_500.2,11,50,ST,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,261,N/A,N/A,N/A,"Ship DI, 2.5L, reusable",2.5,,Evap.H2O.reuse,1,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,262,N/A,N/A,N/A,"Ship DI, 2.5L, single use (0.45)",2.5,,Evap.H2O.dispose,0.45,20211028,,100,needed second day for drying ethanol,,,,
7/8/2021,263,x13_500.3,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,264,x13_500.3,sfc,sfc,,2.5,,,1,20211028,,100,"visible DNA pellet, needed second day for drying ethanol",,,,
7/8/2021,265,x13_500.3,2,500,,2.5,,,1,20211028,,100,needed second day for drying ethanol,,,,
