representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
7a566ea11adda6bbfe6ce3b868fe694d545bcc9a,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
42622bc9398bd0a2d2b16389d12491dca2eb5acb,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
b13238744285efbc2a8b6644b9c8cd22793d9d33,134613,Argentiniformes,order,0.9007,Metazoa,Chordata,Actinopteri,Argentiniformes,,,
3e5d6b8e8ec5e95be9256870d49ac737dd9f6990,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
ee6addbfe26147ca7527db2cf3ad0652230cd5da,433379,Cryptacanthodes giganteus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus
ddffdd8c09ab1baff6d03a500e0ab282711dc951,319775,Citharichthys stigmaeus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus
053b441f31c1dd1c80b1228d64ec37de327d9f2d,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
74066494c72c1695219c035c049f10e696375826,195599,Citharichthys,genus,0.9999,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
6148dd0e381a283f63dee346a147cfa6ff0ebec3,134613,Argentiniformes,order,0.9578,Metazoa,Chordata,Actinopteri,Argentiniformes,,,
856bdabd9da03b5f02d52e62eead9bbde41a60b2,5002233,Sebastes polyspinis|variabilis|ciliatus|crameri,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes polyspinis|variabilis|ciliatus|crameri
25b755d4e6009476d41319d7f43fd58f8df2f047,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
49ba747104f300db74b98f713dec4ece01303d68,8256,Pleuronectidae,family,0.9928,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
e12215acebccca7cbb8bbf345cd5232d47a4248e,91657,Stenobrachius,genus,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
9c9a29499030c39f474ca37c50e7132f298e9958,30724,Clupea pallasii,species,0.9909,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
2dc7b1c32e68a132f7b42b1acaf4aa5680d5f381,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
6100d53330d2e87b1a8ee43f6b684ea63f4fd4d0,91657,Stenobrachius,genus,0.9972,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
b8092bb5e58a3ba6bd6c4832efec923c8dc95904,91657,Stenobrachius,genus,0.9965,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
ceeef90eb147b9672c36201812711d41250edff7,302051,Icichthys lockingtoni,species,NA,Metazoa,Chordata,Actinopteri,Scombriformes,Centrolophidae,Icichthys,Icichthys lockingtoni
fc55b567fbbc4ae05513c0a2ec272b03b27e11a9,319782,Sagamichthys abei,species,NA,Metazoa,Chordata,Actinopteri,Alepocephaliformes,Platytroctidae,Sagamichthys,Sagamichthys abei
635f7e60686c8bd333fc0d36dec974b951608924,91657,Stenobrachius,genus,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
0f80c1ac82450a8c57fe578252e042f1d1f29fa8,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
04098c0a61c8a7a09eed8362692abda639010a32,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
3301aa84273d0cf42bc0272eb95796989bbdda4b,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
d0defc1f3cee9d4b54652222d1fba9a2b5a3b2bb,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
d66352c220cdc0b335dc0066a8bfa08e79d35ec0,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
215982d3cf023d731508c513c8da3cb439337baa,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
1c260ae9419e739591f74d225031df3ede0a3024,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
c5cdc32c928a04734224614ee72e0c0b387c09f3,1,root,no rank,1,,,,,,,
17414e5b4c25120eb66ea2e0b4fc9317270f0892,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
3fd5ca4246dfef9ef69bad738ae0ddb8314904d1,433393,Allosmerus elongatus,species,NA,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus
9bfc8673f3bea00b9682a4562234d365b5a42b6b,68515,Myctophidae,family,1,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,,
283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,195609,Eopsetta jordani,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani
aabd7e6a689836ba05bc360cd9aecacf70d0b1e9,240832,Thaleichthys pacificus,species,NA,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus
1a51b925272fcc219f0d2c5e348b5b5ad60846bf,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
6ed451c85a37dd8aa0624da653cc57a774dd2546,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
55d21a0f1d5a5b370c79506d8cddec7f5289becb,186625,Clupeocephala,no rank,0.983,Metazoa,Chordata,Actinopteri,,,,
31c814de21af79429788b77f771c48f2f5cbeb67,320395,Genyonemus lineatus,species,NA,Metazoa,Chordata,Actinopteri,,Sciaenidae,Genyonemus,Genyonemus lineatus
67f56b3e6345a76fbba9204ac21b70b1f24ed169,1489388,Euteleosteomorpha,cohort,0.9993,Metazoa,Chordata,Actinopteri,,,,
c7156d1f5364e925e38a73313b038bf32bfcee94,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
1de1625d2bdc79bf466cd3341a32160476c43896,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
738099f4240affd36ba4128392ffba756c654e29,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
bcbd282c8748974b48273391bb3ed30a7464663f,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
f288479cd3af11d3dc1a332a90274c5387bd62eb,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
1b10606892ae84572f80dc3bdd91322abfe32408,34820,Sebastes,genus,0.9916,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
fc5ecdf18688d55382c686b07fae684377fe900d,8224,Scombridae,family,1,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,,
d3056655cdf43b6d31d8ef85bd94d9fbdf3f94cd,30724,Clupea pallasii,species,0.9909,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
5af404705630e44509109eefa4b9839242d2db0f,195612,Glyptocephalus zachirus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus
97c788aa555f7f18cf200a2ed5e908ea95b56770,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
b29e0d4242aa9f5cc64531e8edf7b1d75dd5fd6e,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
c1ab06887cb79b8a9831ecfef88e44dcf59e30a6,8062,Merluccius,genus,0.9954,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
99aadbba6406f7790a8614f14b4b1e50d10de9cf,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
9cadd8f6ac4ac7062f9223e2876ef75fe6b9b2a9,504568,Salmoninae,subfamily,0.9762,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,,
30a3ed2122d9734df38fac9e672ea61193e80385,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
ca1ee9857ce82b01b6c5f0a12950e4da57b64ec3,30724,Clupea pallasii,species,0.9963,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
924a1afa1a137685c33261a4beba6a3c6b334e0a,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
5a00d676da3b05d2f0a98c517f95b1cb3602bf41,1,root,no rank,1,,,,,,,
f72b0b26f77cba5b06a5a1543301287f5a51b818,215426,Lycodes diapterus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,Lycodes,Lycodes diapterus
ac4b8089c9fe78f74a96a4cda9a1d38c95ac845a,5000008,Sebastes aurora|chlorostictus|ensifer|eos|exsul|helvomaculatus|nigrocinctus|notius|rosenblatti|rufus|simulator|spinorbis,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes aurora|chlorostictus|ensifer|eos|exsul|helvomaculatus|nigrocinctus|notius|rosenblatti|rufus|simulator|spinorbis
7bc760df9a8ba42984e2b98ae1d4f35d5375e9e1,91657,Stenobrachius,genus,0.9965,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
8f79f2fe6aa55a3a8af1f60a1b8ca1cc2b7a62a9,30724,Clupea pallasii,species,0.9911,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
443cde7c8ba64e19a13a9c0f697d3939279cf864,8062,Merluccius,genus,0.9989,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
0829802ee2bfb51ec230fa3591f6a5b62aafd5c4,1489388,Euteleosteomorpha,cohort,0.9991,Metazoa,Chordata,Actinopteri,,,,
a8b92038a3831455d68f3f2062635cbfb71823e2,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
18ec2bbb2afd906c078b97d68ba34b138d5b2972,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
b06d4975e6d9d04ee4bd0792b7a6abc478f624f4,195639,Psettichthys melanostictus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus
5c8b2646b30d2926b3c2243be8aeaa7d668ac099,8012,Osmeridae,family,0.9963,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,,
a6310261fe4f22be4e113ad118b626a8aa4bfa6c,91657,Stenobrachius,genus,0.9966,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
a77c9a996ca4450d56d2042b81d65cd47118af05,134613,Argentiniformes,order,0.9772,Metazoa,Chordata,Actinopteri,Argentiniformes,,,
b685833a4facde96d776d9d09baf9e72fb7f32a7,91657,Stenobrachius,genus,0.9964,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
a6dcaba0f66174fc4be9186db8525cee19266a22,80721,Microgadus proximus,species,0.9821,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
0607d56b39dc78eb41e25c42cedb62a77cf41bcc,31029,Molidae,family,0.9941,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Molidae,,
b8f0541ddd440252764c6ddcbb34e1b504d2f9d8,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
74e3639b08b53147d1364c686d9bbda72ee92752,186625,Clupeocephala,no rank,0.9932,Metazoa,Chordata,Actinopteri,,,,
27cf827fddac1153acb434f25df5e604136ca37f,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
effbff7038fdade8d2d86378c7d69a6fe1f0fb94,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
e801bcf745638aff39ae6862460b4ddb35cf29f6,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
b784a1fabce426c91346a20a9d74c7bf6eb38347,8193,Zoarcidae,family,0.9999,Metazoa,Chordata,Actinopteri,Perciformes,Zoarcidae,,
ca9c7302408dbb56316c8a4af815244dbbfb7fe6,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
f7f1b38a9032dfe635efea6ac5ff29f22a378246,186625,Clupeocephala,no rank,1,Metazoa,Chordata,Actinopteri,,,,
995d2c784f73e37d57f2e2557ee3a318ecce3515,8256,Pleuronectidae,family,0.9984,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
72603ed81d142b34f0f40d1fd08eddd4a72e3b43,1489388,Euteleosteomorpha,cohort,0.9987,Metazoa,Chordata,Actinopteri,,,,
5ad4fd24d8850eabe14f6a6b965020333dc13b7b,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
78d9b002e4b89f9077797ff21aa6cd61d950a677,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
2a50ada14de227fb9f8e78922a7aa3ed0f53c308,30724,Clupea pallasii,species,0.9128,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
d0f8020c13b75fe2ea9d3824125f82a4185282ff,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
