Sample_name,Locus,Hash,nReads
1001.1,16S_Prey,7d3962c0428035d0cef5050a8b0e4a565e77d76b,242
1001.1,16S_Prey,de2ca3a1cbcbe1778d063016abaa28fa7c944380,239
1001.1,16S_Prey,bf921848439099cb228d1b7b1d7a8e6b0ea7934e,193
1001.1,16S_Prey,ce61b02f6193dafb08c4bbd407bad0ca8aa27d03,187
1001.1,16S_Prey,3b5890f3a1749a95950e034886df203dea083ce1,186
1001.1,16S_Prey,39e9d08d7f20967a8abd3a2dfaec581e4847cb0f,168
1001.1,16S_Prey,bd27b6fb7e7b88b976d2acae3f5cd025a2f77afd,162
1001.1,16S_Prey,7d1c6bbe80c81ea59f0bd4725d2fe26536a8ce68,154
1001.1,16S_Prey,3c0d8f1b028bdc95a0254e3380700bee1ba8091c,146
1001.1,16S_Prey,eec0396f07f83567ba357d4cb14a0d778ce18a67,129
1001.1,16S_Prey,d85b1b0762b7552ba85f7c483946d363754ac5a5,50
1001.1,16S_Prey,eccb5a8fece9e553edf9f3afc742683e3ef04cdc,4
1001.2,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,16093
1001.2,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,3820
1001.2,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,23535
1001.2,16S_Prey,db2b65dd77635828f6ba4e9845c212a57b37e7ef,7889
1001.2,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,5077
1001.2,16S_Prey,dcd64feee9f077095a1ec234a2c612431282481b,22867
1001.2,16S_Prey,1e89e17d703adb95dc75f153882024f2b77a19e3,394
1001.2,16S_Prey,74066494c72c1695219c035c049f10e696375826,1053
1001.2,16S_Prey,17414e5b4c25120eb66ea2e0b4fc9317270f0892,6406
1001.2,16S_Prey,d3056655cdf43b6d31d8ef85bd94d9fbdf3f94cd,595
1001.2,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,489
1001.2,16S_Prey,ca9c7302408dbb56316c8a4af815244dbbfb7fe6,3702
1001.2,16S_Prey,995d2c784f73e37d57f2e2557ee3a318ecce3515,83
1001.2,16S_Prey,ab96ab999ba4e05d3209bbe5740709156c13adee,2733
1001.2,16S_Prey,6f82f43f82ba04cad4262f48e69ee29a37a06336,71
1001.2,16S_Prey,6832479b412d92a5665646350de649b775dcb7d0,204
1001.2,16S_Prey,d1f112bb436a15107d6f8e0563ecceaa7bceecd0,392
