Miseq_run,Sample_name,Hash,nReads
Run8,1219-2,63c9c2740582c480fe995c3fbe6b76444b75b8da,17342
Run8,1219-2,67544fb937719d5b7090a0631622f2e3612c1e04,61102
Run8,1219-2,93286116c4689b86589cd8ba347f60db8f6c41be,406
Run8,1219-2,96d416c3298d1480ae3a5372d2801930eeade4e2,709
Run8,1219-2,999d75b198c8c54097335e4c4db90e638912ede4,96
Run8,1219-2,ac4620bbb3d7c8f15a8527933efe1ce2b7fd7ad0,328
Run8,1219-2,aedb0b625271584702765f44082f5183f173782c,71
Run8,1219-2,b0754451b008216d91cff007377d359106ef32a0,44
Run8,1219-2,b32983e23466d948dca7ef0cae23fac639ab963c,1073
Run8,1219-2,bcf73e2993acbec36c02b3055ddd0f346eb8a23d,277
Run8,1219-2,d0defc1f3cee9d4b54652222d1fba9a2b5a3b2bb,5423
Run8,1219-2,d8c8f7ab704c8b2640821820b7ea57aa16dbf388,508
Run8,1219-2,dcf40fd381aa1995fc63c71f9067c5df7bada5cf,757
Run8,1219-2,e06b0c9f2590f85288741d0769ca8d5bd98c4fee,1994
Run8,1219-2,e418982e110a2658a591d16faf03894b97c3f591,145
Run8,1219-2,e79c2e8396211ef085e386384cda0d2ffd3d1a32,50
Run8,1219-2,f08a6c08988fd27362d487941f0b3b5455d38ff1,347
Run8,1219-2,f72ff2222551604f5cfc92eb33b4a45425e9ae29,171
Run8,1219-2,fe7e9b3a48caf6a8a0c540ba3dc89af9c652a039,364
Run8,1220-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,16
Run8,1220-1,2572c93257eabc416ea5c0d0dc9233debd17ec39,3306
Run8,1220-1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,804
Run8,1220-1,30b8d37f294e817cbaddf8a5e854e6775ce7f5c7,3143
Run8,1220-1,3d93e9753e58c59a65605680bf8a46735ed450e9,37833
Run8,1220-1,40e39777fcb298ac7ca7d5faf34312877ab7c1b5,214
Run8,1220-1,42737cd65bab38b57ea8949256ab1dbc59f5d054,26859
Run8,1220-1,5a21b0cbca750ae7876a9817be2114d7191f3b7f,46
Run8,1220-1,612ee970e1e5e3212c9bc1c8c65e7dcefa988a78,416
Run8,1220-1,750881ad5916288b7ff8ee755a9b3399b3a8fd63,232
Run8,1220-1,7ea7c5681160a0bdfc90200035733fd25bd2f5e4,14
Run8,1220-1,969b159b632cdbff7a3808cfd8bd2d2bb7f9fc40,571
Run8,1220-1,aef5b0aef20a921ff9a1d1dfadefea255c995ab0,813
Run8,1220-1,b3f37a54ee15ed4fb71cd2c3a9912b592674e7c2,5702
Run8,1220-1,b8a56178ce79932f8358ba3f0d0d272f81622b9f,5798
Run8,1220-1,c05e5a046eac8d7b194fe0a65dbdcdd2a085731f,805
Run8,1220-1,c8049f8ff74e387f0186c4a0403c77a9904680ec,13
Run8,1220-1,d0f8020c13b75fe2ea9d3824125f82a4185282ff,1029
Run8,1220-1,e31e86b553d7c4d62f8dbda29c09f78353b0b229,91
Run8,1220-2,02831adb12b4df552d83d1fdb2fa129115d11d7d,34
Run8,1220-2,1669b1844201ea9435c7e6cd054e0c3241629625,1161
Run8,1220-2,20ad66326665704dd9fc253fe050a2c0e3f102d6,162
Run8,1220-2,245179d749b036826749f1e4a778920006659dc1,411
Run8,1220-2,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,2490
Run8,1220-2,27957660a97efa9a9104bb5329b3b2fd120cf083,11328
Run8,1220-2,2852b8b433ff0190c0ec998dd1cfc00400e839cb,29
Run8,1220-2,2d0c81930ca82c5fe54b0932079f097807a38a67,1786
Run8,1220-2,3024eb96869eed7aee21b381310ac2feba14c7a3,94
Run8,1220-2,42737cd65bab38b57ea8949256ab1dbc59f5d054,93206
Run8,1220-2,443cde7c8ba64e19a13a9c0f697d3939279cf864,5306
Run8,1220-2,4786fd5f5655eaf49b86c69f0ff5f0415c30a095,2105
Run8,1220-2,4f303cb303268d121c98d6983ada293b1533d2ad,646
Run8,1220-2,4f64227306b203356e4b6186cd93f12dac12419b,456
Run8,1220-2,5c858ec69aed558d2f879a19b0d57e1fbabdb4d7,378
Run8,1220-2,620453ba9c2d3e64dca8f41faec310679805ee86,123
Run8,1220-2,66447b867aaeb592523f0d3260d25cd61ffefc05,509
Run8,1220-2,7072dcfe6313faf188e76f00ab954b0a05fd1ee6,178
Run8,1220-2,7818bdd7939aa411e9b402022f9eab34020aa16b,9470
Run8,1220-2,7b672fab7a5164b3540c5e2c138896a86993f45c,143
Run8,1220-2,856bdabd9da03b5f02d52e62eead9bbde41a60b2,10278
Run8,1220-2,91034ed2f67daa363af4289ade09106a003208e9,81
Run8,1220-2,a449ffb4e074b4408d18cd59a8242e2ad72a3bbe,185
Run8,1220-2,a5c8ff236e0472fbb825af579f8f49f6473d1c29,2663
Run8,1220-2,a746b681ba3bb4de13bebe4e1ee103a341cee832,692
Run8,1220-2,acd2506e0f918ec52dc25ca970eb648848c661bd,574
Run8,1220-2,c398cbe7ffcf031f03af95c4a31992c805ab98e5,1246
Run8,1220-2,ca467c82a76177dfe27e1a58848c14d473f0c85c,291
Run8,1220-2,ccd5af1460db5d68082286e293a11451c86baaaa,2414
Run8,1220-2,d17ad5276ed1460b6e3d500aa9a35da67f1935b1,1044
Run8,1220-2,d8701c485992470c82bba805aabddd8285074105,623
Run8,1220-2,d956aafb93c68f7194f9c7fb88ba600c465a1702,925
Run8,1220-2,e97ee10335d66023ee55f8d18f0f2a5bf76fdb28,1691
Run8,1220-2,ecff3e2de20b856bacaee580ba367c9279c71f5a,96
Run8,1220-2,f5f8378ea68b27f6512ca3f972b9af03f779ea87,2181
Run8,1220-2,f75b2882b98a1d22cd0a6d7d1353bd1b6adfb2e4,862
Run8,1220-2,f9165082de29af840cde137a7ac62206647f2e48,429
Run8,1228-1,09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,1934
Run8,1228-1,2e11129e6a4a470f4ae5e411ee54844d66907401,72
Run8,1228-1,394941fe61578579e0311cf90225a8cdce9c63c9,10745
Run8,1228-1,50dbd61c6379eb3973dcd8210a19b0e96674182d,9
Run8,1228-1,760fc3cb05911cd49affeee1052ade0166c54bc9,30
Run8,1228-1,7edc82ae907368e2ba93f8d04552ca58def53f5b,1100
Run8,1228-1,8f9d2f04549dd67c605bd31cb4ed3f04ec024476,952
Run8,1228-1,924a1afa1a137685c33261a4beba6a3c6b334e0a,62
Run8,1228-1,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,15
Run8,1228-1,c8049f8ff74e387f0186c4a0403c77a9904680ec,106
Run8,1228-1,ddffdd8c09ab1baff6d03a500e0ab282711dc951,101
Run8,1228-1,e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,9
Run8,1228-1,ee218cad8a54bc88b50a55f98142e40dc25a413c,230
