eDNA.sample,rep,class,order,taxon,nReads,Transect,position,depth,lat,lon
1207,1,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,577,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,1067,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,2826,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Myctophiformes,Myctophidae%Stenobrachius%Stenobrachius leucopsarus,1256,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,1981,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,184,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,235,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,965,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%NA,1346,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,665,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%Lyopsetta%Lyopsetta exilis,805,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Pleuronectiformes,Pleuronectidae%NA%NA,7368,67,1,25,45.39631833,-124.0406283
1207,1,Actinopteri,Salmoniformes,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,1076,67,1,25,45.39631833,-124.0406283
1207,1,Chondrichthyes,Chimaeriformes,Chimaeridae%Hydrolagus%Hydrolagus colliei,106,67,1,25,45.39631833,-124.0406283
1207,1,Chondrichthyes,Rajiformes,Rajidae%Raja%Raja binoculata,489,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Clupeiformes,Clupeidae%Clupea%Clupea pallasii,11225,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Clupeiformes,Clupeidae%Sardinops%Sardinops sagax,2,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Gadiformes,Merlucciidae%Merluccius%Merluccius productus,272,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Myctophiformes,Myctophidae%Lampanyctus%NA,1192,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Osmeriformes,Osmeridae%Allosmerus%Allosmerus elongatus,528,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Osmeriformes,Osmeridae%NA%NA,283,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Osmeriformes,Osmeridae%Thaleichthys%Thaleichthys pacificus,847,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Perciformes,Liparidae%Liparis%Liparis pulchellus,791,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes entomelas|mystinus,1562,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Perciformes,Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,1478,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys stigmaeus,36,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Pleuronectiformes,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,430,67,1,25,45.39631833,-124.0406283
1207,2,Actinopteri,Pleuronectiformes,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,1016,67,1,25,45.39631833,-124.0406283
