Hash,class,order,family,genus,species,origin
155cbaf5bf6dc144fecad93e56eab1d01ce0f3b0,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
c858030af9d3469e47d9b90f5fbe435774867677,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
fd0ee1249875cf50b21ebd2aed735d6eb94a6d71,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
9f4408fe50bb629ef407277e3236e0603bea5d04,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
02b1c257de213928a9beaf7a39eef98e0496c0e7,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
fa6aa6755fcdc06f371af2b75940e41107851c75,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
2865810bdbd74855273c2155db519c2f7dc27d66,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
a38706547b1f57e97dc47d97f796aba4ece4f412,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
4ac58ff71faa25f42dcfe78d8262b3e5deb20cc2,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
f70db5fb9dbe1e5b0f9f06496490ddf2ddd103a7,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
8725a0f1da08d7a1d3628aa093e07e80f1e56aa9,Actinopteri,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,insect
db2b65dd77635828f6ba4e9845c212a57b37e7ef,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
d1f112bb436a15107d6f8e0563ecceaa7bceecd0,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
6f82f43f82ba04cad4262f48e69ee29a37a06336,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
b67ae1b2fd3f802ade2f9e74e8e4e07cf3c8dd79,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
8a71b09257e195e5dcbda97232b952600b109404,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
d45aca9e4fa89f491c9ecbc76bd8ff1de8ce55d9,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
f6869ee74d1428e6259ae9e1767708f7f7bdfdba,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
4518dfd79df7e703a75b86439b9d5f5df0262a71,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
182d20dc9c414205ce15c5233411ab851da5da6c,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
26ecc6a44aa7e8e0bed5e9de66103eced524c74f,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,insect
