Var1,Var2,value
UDP0165,UDP0002,0.9
UDP0166,UDP0002,1
UDP0167,UDP0002,0.7
UDP0168,UDP0002,0.8
UDP0169,UDP0002,0.7
UDP0170,UDP0002,0.7
UDP0171,UDP0002,0.7
UDP0172,UDP0002,0.7
UDP0173,UDP0002,1
UDP0174,UDP0002,0.8
UDP0175,UDP0002,0.6
UDP0176,UDP0002,0.6
UDP0177,UDP0002,0.6
UDP0178,UDP0002,1
UDP0179,UDP0002,0.9
UDP0180,UDP0002,0.7
UDP0181,UDP0002,0.6
UDP0182,UDP0002,0.6
UDP0183,UDP0002,0.8
UDP0184,UDP0002,0.8
UDP0185,UDP0002,0.7
UDP0186,UDP0002,0.9
UDP0187,UDP0002,0.7
UDP0188,UDP0002,0.8
UDP0189,UDP0002,0.9
UDP0190,UDP0002,0.8
UDP0191,UDP0002,0.7
UDP0192,UDP0002,0.8
UDP0001,UDP0003,0.7
UDP0002,UDP0003,0.9
UDP0003,UDP0003,0
UDP0004,UDP0003,0.7
UDP0005,UDP0003,0.8
UDP0006,UDP0003,0.8
UDP0007,UDP0003,0.6
UDP0008,UDP0003,0.8
UDP0009,UDP0003,0.8
UDP0010,UDP0003,0.6
UDP0011,UDP0003,0.8
UDP0012,UDP0003,1
UDP0013,UDP0003,0.5
UDP0014,UDP0003,0.9
UDP0015,UDP0003,0.9
UDP0016,UDP0003,0.7
UDP0017,UDP0003,0.9
UDP0018,UDP0003,0.7
UDP0019,UDP0003,0.7
UDP0020,UDP0003,0.9
UDP0021,UDP0003,0.8
UDP0022,UDP0003,0.8
UDP0023,UDP0003,0.8
UDP0024,UDP0003,0.6
UDP0025,UDP0003,0.7
UDP0026,UDP0003,0.7
UDP0027,UDP0003,1
UDP0028,UDP0003,0.7
UDP0029,UDP0003,0.8
UDP0030,UDP0003,0.8
UDP0031,UDP0003,1
UDP0032,UDP0003,0.9
UDP0033,UDP0003,0.8
UDP0034,UDP0003,0.8
UDP0035,UDP0003,0.7
UDP0036,UDP0003,0.9
UDP0037,UDP0003,0.7
UDP0038,UDP0003,0.7
UDP0039,UDP0003,0.9
UDP0040,UDP0003,0.7
UDP0041,UDP0003,0.6
UDP0042,UDP0003,1
UDP0043,UDP0003,0.9
UDP0044,UDP0003,0.8
UDP0045,UDP0003,0.7
UDP0046,UDP0003,0.6
UDP0047,UDP0003,0.8
UDP0048,UDP0003,0.8
UDP0049,UDP0003,0.6
UDP0050,UDP0003,0.6
UDP0051,UDP0003,0.6
UDP0052,UDP0003,0.8
UDP0053,UDP0003,0.6
UDP0054,UDP0003,0.9
UDP0055,UDP0003,0.8
UDP0056,UDP0003,0.9
UDP0057,UDP0003,0.5
UDP0058,UDP0003,0.9
UDP0059,UDP0003,0.7
UDP0060,UDP0003,0.8
UDP0061,UDP0003,0.5
UDP0062,UDP0003,0.9
UDP0063,UDP0003,0.8
UDP0064,UDP0003,0.6
UDP0065,UDP0003,0.8
UDP0066,UDP0003,0.8
UDP0067,UDP0003,0.7
UDP0068,UDP0003,0.7
UDP0069,UDP0003,0.7
UDP0070,UDP0003,0.7
UDP0071,UDP0003,0.7
UDP0072,UDP0003,0.8
UDP0073,UDP0003,0.7
UDP0074,UDP0003,0.7
UDP0075,UDP0003,0.7
UDP0076,UDP0003,0.7
UDP0077,UDP0003,0.7
UDP0078,UDP0003,0.8
UDP0079,UDP0003,0.7
UDP0080,UDP0003,0.8
UDP0081,UDP0003,0.5
UDP0082,UDP0003,0.7
UDP0083,UDP0003,0.6
UDP0084,UDP0003,0.9
UDP0085,UDP0003,0.6
UDP0086,UDP0003,0.9
UDP0087,UDP0003,0.6
UDP0088,UDP0003,0.9
UDP0089,UDP0003,0.8
UDP0090,UDP0003,0.8
UDP0091,UDP0003,1
UDP0092,UDP0003,0.6
UDP0093,UDP0003,0.9
UDP0094,UDP0003,0.8
UDP0095,UDP0003,0.8
UDP0096,UDP0003,0.7
UDP0097,UDP0003,0.7
UDP0098,UDP0003,0.7
UDP0099,UDP0003,0.6
UDP0100,UDP0003,0.9
UDP0101,UDP0003,0.6
UDP0102,UDP0003,1
UDP0103,UDP0003,0.6
UDP0104,UDP0003,0.4
UDP0105,UDP0003,0.7
UDP0106,UDP0003,0.8
UDP0107,UDP0003,0.7
UDP0108,UDP0003,0.8
UDP0109,UDP0003,0.6
UDP0110,UDP0003,0.8
UDP0111,UDP0003,0.7
UDP0112,UDP0003,0.7
UDP0113,UDP0003,0.8
UDP0114,UDP0003,1
UDP0115,UDP0003,0.6
UDP0116,UDP0003,0.8
UDP0117,UDP0003,0.9
UDP0118,UDP0003,0.7
UDP0119,UDP0003,0.7
UDP0120,UDP0003,0.9
UDP0121,UDP0003,0.9
UDP0122,UDP0003,0.6
UDP0123,UDP0003,0.6
UDP0124,UDP0003,0.8
UDP0125,UDP0003,0.8
UDP0126,UDP0003,0.9
UDP0127,UDP0003,0.7
UDP0128,UDP0003,0.7
UDP0129,UDP0003,0.9
UDP0130,UDP0003,0.8
UDP0131,UDP0003,0.9
UDP0132,UDP0003,0.9
UDP0133,UDP0003,1
UDP0134,UDP0003,0.9
UDP0135,UDP0003,0.6
UDP0136,UDP0003,0.7
UDP0137,UDP0003,0.8
UDP0138,UDP0003,0.7
UDP0139,UDP0003,0.6
UDP0140,UDP0003,0.8
UDP0141,UDP0003,0.7
UDP0142,UDP0003,0.9
UDP0143,UDP0003,0.8
UDP0144,UDP0003,0.6
UDP0145,UDP0003,0.9
UDP0146,UDP0003,0.5
UDP0147,UDP0003,0.7
UDP0148,UDP0003,0.5
UDP0149,UDP0003,0.7
UDP0150,UDP0003,0.7
UDP0151,UDP0003,1
UDP0152,UDP0003,0.8
UDP0153,UDP0003,0.6
UDP0154,UDP0003,0.6
UDP0155,UDP0003,0.8
UDP0156,UDP0003,0.8
UDP0157,UDP0003,0.9
UDP0158,UDP0003,0.6
UDP0159,UDP0003,0.8
UDP0160,UDP0003,1
UDP0161,UDP0003,0.5
UDP0162,UDP0003,0.8
UDP0163,UDP0003,0.9
UDP0164,UDP0003,0.5
UDP0165,UDP0003,0.8
UDP0166,UDP0003,0.5
UDP0167,UDP0003,0.5
UDP0168,UDP0003,0.7
UDP0169,UDP0003,0.8
UDP0170,UDP0003,0.8
UDP0171,UDP0003,0.8
UDP0172,UDP0003,0.6
UDP0173,UDP0003,0.7
UDP0174,UDP0003,0.8
UDP0175,UDP0003,0.7
UDP0176,UDP0003,0.7
UDP0177,UDP0003,0.9
UDP0178,UDP0003,0.8
UDP0179,UDP0003,0.7
UDP0180,UDP0003,0.7
UDP0181,UDP0003,0.8
UDP0182,UDP0003,0.9
UDP0183,UDP0003,0.8
UDP0184,UDP0003,0.6
UDP0185,UDP0003,0.7
UDP0186,UDP0003,0.9
UDP0187,UDP0003,0.6
UDP0188,UDP0003,0.8
UDP0189,UDP0003,0.7
UDP0190,UDP0003,0.6
UDP0191,UDP0003,0.9
UDP0192,UDP0003,0.6
UDP0001,UDP0004,0.8
UDP0002,UDP0004,0.6
UDP0003,UDP0004,0.7
UDP0004,UDP0004,0
UDP0005,UDP0004,1
UDP0006,UDP0004,0.9
UDP0007,UDP0004,0.9
UDP0008,UDP0004,0.7
UDP0009,UDP0004,0.7
UDP0010,UDP0004,0.7
UDP0011,UDP0004,1
UDP0012,UDP0004,0.5
UDP0013,UDP0004,0.7
UDP0014,UDP0004,0.8
UDP0015,UDP0004,0.9
UDP0016,UDP0004,0.9
UDP0017,UDP0004,1
UDP0018,UDP0004,0.8
UDP0019,UDP0004,0.5
UDP0020,UDP0004,0.9
UDP0021,UDP0004,0.7
UDP0022,UDP0004,0.9
UDP0023,UDP0004,0.6
UDP0024,UDP0004,0.8
UDP0025,UDP0004,0.7
UDP0026,UDP0004,0.7
UDP0027,UDP0004,0.7
UDP0028,UDP0004,0.7
UDP0029,UDP0004,0.8
UDP0030,UDP0004,0.7
UDP0031,UDP0004,0.7
UDP0032,UDP0004,0.6
UDP0033,UDP0004,0.6
UDP0034,UDP0004,0.8
UDP0035,UDP0004,0.8
UDP0036,UDP0004,0.9
UDP0037,UDP0004,0.8
UDP0038,UDP0004,0.6
UDP0039,UDP0004,0.8
UDP0040,UDP0004,0.8
UDP0041,UDP0004,0.5
UDP0042,UDP0004,0.7
UDP0043,UDP0004,0.9
UDP0044,UDP0004,0.7
UDP0045,UDP0004,0.8
UDP0046,UDP0004,0.8
UDP0047,UDP0004,0.7
UDP0048,UDP0004,0.9
UDP0049,UDP0004,0.7
UDP0050,UDP0004,0.9
UDP0051,UDP0004,0.8
UDP0052,UDP0004,0.9
UDP0053,UDP0004,0.9
UDP0054,UDP0004,0.9
UDP0055,UDP0004,0.8
UDP0056,UDP0004,0.5
UDP0057,UDP0004,0.8
UDP0058,UDP0004,0.6
UDP0059,UDP0004,0.9
UDP0060,UDP0004,0.6
UDP0061,UDP0004,0.8
UDP0062,UDP0004,0.8
UDP0063,UDP0004,0.6
UDP0064,UDP0004,0.7
UDP0065,UDP0004,1
UDP0066,UDP0004,0.5
UDP0067,UDP0004,0.8
UDP0068,UDP0004,0.8
UDP0069,UDP0004,1
UDP0070,UDP0004,0.9
UDP0071,UDP0004,0.6
UDP0072,UDP0004,0.7
UDP0073,UDP0004,0.6
UDP0074,UDP0004,0.8
UDP0075,UDP0004,0.8
UDP0076,UDP0004,0.7
UDP0077,UDP0004,0.9
UDP0078,UDP0004,0.7
UDP0079,UDP0004,0.9
UDP0080,UDP0004,0.8
UDP0081,UDP0004,0.7
UDP0082,UDP0004,0.8
UDP0083,UDP0004,0.6
UDP0084,UDP0004,0.8
UDP0085,UDP0004,0.9
UDP0086,UDP0004,0.7
UDP0087,UDP0004,0.5
UDP0088,UDP0004,0.8
UDP0089,UDP0004,0.7
UDP0090,UDP0004,0.5
UDP0091,UDP0004,0.8
UDP0092,UDP0004,0.9
UDP0093,UDP0004,0.7
UDP0094,UDP0004,0.9
UDP0095,UDP0004,0.8
UDP0096,UDP0004,0.6
UDP0097,UDP0004,0.6
UDP0098,UDP0004,0.8
UDP0099,UDP0004,0.8
UDP0100,UDP0004,0.9
UDP0101,UDP0004,0.8
UDP0102,UDP0004,0.6
UDP0103,UDP0004,1
UDP0104,UDP0004,0.5
UDP0105,UDP0004,0.7
UDP0106,UDP0004,0.8
