eDNA.sample,Station,stop,bottom.depth.consensus,CTD_Cast,Thermocline_depth,Thermocline_strength,Transect,position,depth,lat,lon,Openness,groups,Distance_to_thermocline,Distance_to_seafloor
978,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,500,44.23039833,-125.1583233,Mid,Stratified,487.013,1029.5
985,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,50,44.23039833,-125.1583233,Mid,Stratified,37.013,1479.5
986,60-4,4,1529.5,187,12.987,2.5415350854100875,60,below,50,44.23039833,-125.1583233,Mid,Stratified,37.013,1479.5
987,60-4,4,1529.5,187,12.987,2.5415350854100875,60,above,0,44.23039833,-125.1583233,Mid,Stratified,-12.987,1529.5
988,60-4,4,1529.5,187,12.987,2.5415350854100875,60,above,0,44.23039833,-125.1583233,Mid,Stratified,-12.987,1529.5
1205,67-1,1,55.03,215,3.742,3.977844308488842,67,seafloor,45,45.39631833,-124.0406283,Onshore,Stratified,41.258,10.030000000000001
1206,67-1,1,55.03,215,3.742,3.977844308488842,67,seafloor,45,45.39631833,-124.0406283,Onshore,Stratified,41.258,10.030000000000001
1207,67-1,1,55.03,215,3.742,3.977844308488842,67,below,25,45.39631833,-124.0406283,Onshore,Stratified,21.258,30.03
1208,67-1,1,55.03,215,3.742,3.977844308488842,67,below,25,45.39631833,-124.0406283,Onshore,Stratified,21.258,30.03
1210,67-1,1,55.03,215,3.742,3.977844308488842,67,above,0,45.39631833,-124.0406283,Onshore,Stratified,-3.742,55.03
1219,67-3,3,304.03,217,13.44,1.872793611648401,67,seafloor,291,45.39612167,-124.4226133,Mid,Stratified,277.56,13.029999999999973
1220,67-3,3,304.03,217,13.44,1.872793611648401,67,seafloor,291,45.39612167,-124.4226133,Mid,Stratified,277.56,13.029999999999973
1225,67-3,3,304.03,217,13.44,1.872793611648401,67,below,50,45.39612167,-124.4226133,Mid,Stratified,36.56,254.02999999999997
1228,67-3,3,304.03,217,13.44,1.872793611648401,67,above,0,45.39612167,-124.4226133,Mid,Stratified,-13.44,304.03
1265,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,500,45.398275,-125.0283033,Mid,Mixed,483.798,971.47
1266,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,500,45.398275,-125.0283033,Mid,Mixed,483.798,971.47
1273,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,50,45.398275,-125.0283033,Mid,Mixed,33.798,1421.47
1274,67-7,7,1471.47,221,16.202,1.6863100091911782,67,below,50,45.398275,-125.0283033,Mid,Mixed,33.798,1421.47
1535,77-1,1,53.05,247,6.477,5.098723024160524,77,above,0,47.063255,-124.396465,Onshore,Stratified,-6.477,53.05
