taxon,family,genus,species,diet,morphology,habitat use,life history,diel migration,size(mm),source,new.morphotype,...13,npoints
Scyliorhinidae%Apristurus%Apristurus brunneus,Scyliorhinidae,Apristurus,Apristurus brunneus,NA,Shark,"seafloor, deep",NA,NA,NA,NA,"seafloor, deep",Marine; demersal,1
Sebastidae%NA%NA,Sebastidae,NA,NA,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,12
Sebastidae%Sebastes%NA,Sebastidae,Sebastes,NA,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,18
Sebastidae%Sebastes%Sebastes aleutianus|melanostictus,Sebastidae,Sebastes,Sebastes aleutianus|melanostictus,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes aurora|chlorostictus|ensifer|eos|exsul|helvomaculatus|nigrocinctus|notius|rosenblatti|rufus|simulator|spinorbis,Sebastidae,Sebastes,Sebastes aurora|chlorostictus|ensifer|eos|exsul|helvomaculatus|nigrocinctus|notius|rosenblatti|rufus|simulator|spinorbis,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,2
Sebastidae%Sebastes%Sebastes chrysomelas|caurinus|maliger,Sebastidae,Sebastes,Sebastes chrysomelas|caurinus|maliger,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,5
Sebastidae%Sebastes%Sebastes cortezi|melanosema|sinensis|diploproa,Sebastidae,Sebastes,Sebastes cortezi|melanosema|sinensis|diploproa,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,3
Sebastidae%Sebastes%Sebastes elongatus,Sebastidae,Sebastes,Sebastes elongatus,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,5
Sebastidae%Sebastes%Sebastes ensifer,Sebastidae,Sebastes,Sebastes ensifer,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes entomelas,Sebastidae,Sebastes,Sebastes entomelas,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,3
Sebastidae%Sebastes%Sebastes entomelas|mystinus,Sebastidae,Sebastes,Sebastes entomelas|mystinus,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,9
Sebastidae%Sebastes%Sebastes jordani,Sebastidae,Sebastes,Sebastes jordani,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,7
Sebastidae%Sebastes%Sebastes miniatus,Sebastidae,Sebastes,Sebastes miniatus,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes pinniger,Sebastidae,Sebastes,Sebastes pinniger,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes polyspinis|variabilis|ciliatus|crameri,Sebastidae,Sebastes,Sebastes polyspinis|variabilis|ciliatus|crameri,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes saxicola,Sebastidae,Sebastes,Sebastes saxicola,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,1
Sebastidae%Sebastes%Sebastes sp. NA|flavidus|melanops|serranoides,Sebastidae,Sebastes,Sebastes sp. NA|flavidus|melanops|serranoides,NA,Rockfish,Rockfish,NA,NA,NA,NA,Rockfish,Marine; demersal,14
