Date UTC,Tube #,CTD cast,Niskin,depth,comments,extraction,comments,qubit (ng/ul),water filtered (L),elution (ul),Fluor,Zymo columns
7/5/2019,89,27-8,6,150,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00374,
7/5/2019,90,27-8,7,100,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00685,
7/5/2019,91,27-8,8,100,,1/2/2019,"Entire batch-no visible pellet. Extraction batch 72-79,84-91, extraction neg for day extracted in earlier batch",,2.5,,0.00685,
7/5/2019,92,27-8,9,50,took longer to filter,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,4.83516,Yes
7/5/2019,93,27-8,10,50,took longer to filter,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,4.83516,Yes
7/5/2019,94,27-8,sfc,sfc,took longer to filter,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,1.67275,Yes
7/5/2019,95,27-6,1,500,,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,0.01059,
7/5/2019,96,27-6,2,500,ST,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.01059,
7/5/2019,97,27-6,3,300,ST,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.00858,
7/5/2019,98,27-6,4,300,ST,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.00858,
7/5/2019,99,27-6,5,150,took longer to filter,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.00767,
7/5/2019,100,27-6,6,150,,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.00767,
7/5/2019,101,27-6,7,100,pink particle on filter,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.02036,
7/5/2019,102,27-6,8,100,,1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,0.02036,
7/5/2019,103,27-6,9,50,,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,0.20454,
7/5/2019,104,27-6,10,50,ST,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,0.20454,
7/5/2019,105,27-6,sfc,sfc,pink particle on filter,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,4.6233,Yes
7/5/2019,106,27-6,sfc,sfc,,1/6/2019,"Extraction batch 92-107, extraction neg for day not in this batch.",,2.5,,4.6233,Yes
7/5/2019,107,-,-,-,"DI Water from DI bucket post use, pink particle on filter",1/6/2019,"No visible pellet. Extraction batch 92-107, extraction neg for day not in this batch. ",,2.5,,,
7/5/2019,108,27-4,1,500,ST,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.01071,
7/5/2019,109,27-4,2,500,ST,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.01071,
7/5/2019,110,27-4,3,300,ST,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.00654,
7/5/2019,111,27-4,4,300,ST,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.00654,
7/5/2019,112,27-4,5,150,ST,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.00983,
7/5/2019,113,27-4,6,150,,1/6/2019,"No visible pellet. Extraction batch 108-122, extraction neg for day in this batch.",,2.5,,0.00983,
