Station,depth,Tube,Flour_at_sample
31-4,50,211,0.19303341365461849
31-4,5,212,10.455849574266793
31-4,5,213,10.455849574266793
31-2,146,215,0.011058607198748044
31-2,146,216,0.011058607198748044
31-2,100,217,0.03750104633781764
31-2,100,218,0.03750104633781764
31-2,50,219,0.20151246819338423
31-2,50,220,0.20151246819338423
31-2,5,221,9.621934908789386
31-2,5,222,9.621934908789386
31-1,25,223,0.9612734530938124
31-1,25,224,0.9612734530938124
31-1,5,225,1.688398867421719
31-1,5,226,1.688398867421719
33-9,500,227,0.011927301587301587
33-9,500,228,0.011927301587301587
33-9,300,229,0.00790793893129771
33-9,300,230,0.00790793893129771
33-9,150,231,0.0026700416088765604
33-9,150,232,0.0026700416088765604
33-9,100,233,-0.0017094007050528787
33-9,100,234,-0.0017094007050528787
33-9,50,235,0.20771865030674846
33-9,50,236,0.20771865030674846
33-9,5,237,0.6325573184357542
33-9,5,238,0.6325573184357542
33-5,500,239,0.012821381774865992
33-5,500,240,0.012821381774865992
33-5,300,241,0.006737323943661972
33-5,300,242,0.006737323943661972
33-5,150,243,0.01474313725490196
33-5,150,244,0.01474313725490196
33-5,100,245,0.02135089126559715
33-5,100,246,0.02135089126559715
33-5,50,247,2.5103522448979594
33-5,50,248,2.5103522448979594
33-5,5,249,4.384401715686274
33-5,5,250,4.384401715686274
33-4,467,251,0.021736854460093897
33-4,467,252,0.021736854460093897
33-4,300,253,0.01044244966442953
33-4,300,254,0.01044244966442953
33-4,150,255,0.0071802607076350096
33-4,150,256,0.0071802607076350096
33-4,100,257,0.021315038314176245
33-4,100,258,0.021315038314176245
33-4,50,259,0.18234075907590758
33-4,50,260,0.18234075907590758
33-4,5,261,13.70401598579041
33-4,5,262,13.70401598579041
33-2,137,263,0.017711600429645542
33-2,137,264,0.017711600429645542
33-2,100,265,0.033106659836065574
33-2,100,266,0.033106659836065574
33-2,50,267,0.04218464506172839
33-2,50,268,0.04218464506172839
33-2,5,269,6.872773893129771
33-2,5,270,6.872773893129771
33-1,50,271,0.15295365543547362
33-1,50,272,0.15295365543547362
33-1,25,273,1.5009838150289017
33-1,25,274,1.5009838150289017
33-1,5,275,16.843310975609757
33-1,5,276,16.843310975609757
33-1,5,277,16.843310975609757
33-1,5,278,16.843310975609757
35-1,48,282,0.0913853470437018
35-1,48,283,0.0913853470437018
35-1,25,284,2.378102818627451
35-1,25,285,2.378102818627451
35-1,5,286,9.365011174785101
