eDNA.sample,rep,Transect,position,depth,func.group,nReads
73,1,26,3,500,Coastal; demersal,0
73,2,26,3,500,Marine; benthopelagic,0
73,2,26,3,500,Open; demersal,0
73,2,26,3,500,Coastal;pelagic-neritic,0
73,2,26,3,500,Marine; pelagic-oceanic,9986
73,2,26,3,500,Open; pelagic-neritic,0
73,2,26,3,500,Coastal; benthopelagic,0
73,2,26,3,500,Marine; bathypelagic,14307
73,2,26,3,500,Coastal; demersal,0
80,1,26,3,50,Marine; benthopelagic,0
80,1,26,3,50,Open; demersal,0
80,1,26,3,50,Coastal;pelagic-neritic,0
80,1,26,3,50,Marine; pelagic-oceanic,90
80,1,26,3,50,Open; pelagic-neritic,3270
80,1,26,3,50,Coastal; benthopelagic,0
80,1,26,3,50,Marine; bathypelagic,0
80,1,26,3,50,Coastal; demersal,0
81,1,26,3,50,Marine; benthopelagic,0
81,1,26,3,50,Open; demersal,0
81,1,26,3,50,Coastal;pelagic-neritic,0
81,1,26,3,50,Marine; pelagic-oceanic,41944
81,1,26,3,50,Open; pelagic-neritic,4787
81,1,26,3,50,Coastal; benthopelagic,0
81,1,26,3,50,Marine; bathypelagic,38023
81,1,26,3,50,Coastal; demersal,0
81,2,26,3,50,Marine; benthopelagic,0
81,2,26,3,50,Open; demersal,22973
81,2,26,3,50,Coastal;pelagic-neritic,0
81,2,26,3,50,Marine; pelagic-oceanic,14913
81,2,26,3,50,Open; pelagic-neritic,14433
81,2,26,3,50,Coastal; benthopelagic,0
81,2,26,3,50,Marine; bathypelagic,3727
81,2,26,3,50,Coastal; demersal,0
83,1,26,3,0,Marine; benthopelagic,0
83,1,26,3,0,Open; demersal,0
83,1,26,3,0,Coastal;pelagic-neritic,0
83,1,26,3,0,Marine; pelagic-oceanic,111652
83,1,26,3,0,Open; pelagic-neritic,0
83,1,26,3,0,Coastal; benthopelagic,0
83,1,26,3,0,Marine; bathypelagic,122044
83,1,26,3,0,Coastal; demersal,0
282,1,35,1,48,Marine; benthopelagic,0
282,1,35,1,48,Open; demersal,21396
282,1,35,1,48,Coastal;pelagic-neritic,0
282,1,35,1,48,Marine; pelagic-oceanic,0
282,1,35,1,48,Open; pelagic-neritic,0
282,1,35,1,48,Coastal; benthopelagic,0
282,1,35,1,48,Marine; bathypelagic,0
282,1,35,1,48,Coastal; demersal,0
282,2,35,1,48,Marine; benthopelagic,0
282,2,35,1,48,Open; demersal,112279
282,2,35,1,48,Coastal;pelagic-neritic,0
282,2,35,1,48,Marine; pelagic-oceanic,1970
282,2,35,1,48,Open; pelagic-neritic,0
282,2,35,1,48,Coastal; benthopelagic,0
282,2,35,1,48,Marine; bathypelagic,0
282,2,35,1,48,Coastal; demersal,0
283,1,35,1,48,Marine; benthopelagic,0
283,1,35,1,48,Open; demersal,42699
283,1,35,1,48,Coastal;pelagic-neritic,12402
283,1,35,1,48,Marine; pelagic-oceanic,0
283,1,35,1,48,Open; pelagic-neritic,4903
283,1,35,1,48,Coastal; benthopelagic,0
283,1,35,1,48,Marine; bathypelagic,0
283,1,35,1,48,Coastal; demersal,0
283,2,35,1,48,Marine; benthopelagic,0
283,2,35,1,48,Open; demersal,137788
283,2,35,1,48,Coastal;pelagic-neritic,0
283,2,35,1,48,Marine; pelagic-oceanic,0
283,2,35,1,48,Open; pelagic-neritic,0
283,2,35,1,48,Coastal; benthopelagic,0
283,2,35,1,48,Marine; bathypelagic,0
283,2,35,1,48,Coastal; demersal,0
284,1,35,1,25,Marine; benthopelagic,0
284,1,35,1,25,Open; demersal,6710
284,1,35,1,25,Coastal;pelagic-neritic,0
284,1,35,1,25,Marine; pelagic-oceanic,3880
284,1,35,1,25,Open; pelagic-neritic,0
284,1,35,1,25,Coastal; benthopelagic,348
284,1,35,1,25,Marine; bathypelagic,0
284,1,35,1,25,Coastal; demersal,0
284,2,35,1,25,Marine; benthopelagic,0
284,2,35,1,25,Open; demersal,20271
284,2,35,1,25,Coastal;pelagic-neritic,0
284,2,35,1,25,Marine; pelagic-oceanic,0
284,2,35,1,25,Open; pelagic-neritic,0
284,2,35,1,25,Coastal; benthopelagic,0
284,2,35,1,25,Marine; bathypelagic,0
284,2,35,1,25,Coastal; demersal,0
285,1,35,1,25,Marine; benthopelagic,0
285,1,35,1,25,Open; demersal,69
285,1,35,1,25,Coastal;pelagic-neritic,1716
285,1,35,1,25,Marine; pelagic-oceanic,0
