Sample_name,Locus,file1,file2
456.2,16S_Prey,Locus_16S_Prey_456-2_S77_L001_R1_001.fastq,Locus_16S_Prey_456-2_S77_L001_R2_001.fastq
458.2,16S_Prey,Locus_16S_Prey_458-2_S78_L001_R1_001.fastq,Locus_16S_Prey_458-2_S78_L001_R2_001.fastq
459.2,16S_Prey,Locus_16S_Prey_459-2_S79_L001_R1_001.fastq,Locus_16S_Prey_459-2_S79_L001_R2_001.fastq
461.2,16S_Prey,Locus_16S_Prey_461-2_S80_L001_R1_001.fastq,Locus_16S_Prey_461-2_S80_L001_R2_001.fastq
460.2,16S_Prey,Locus_16S_Prey_460-2_S81_L001_R1_001.fastq,Locus_16S_Prey_460-2_S81_L001_R2_001.fastq
463.2,16S_Prey,Locus_16S_Prey_463-2_S82_L001_R1_001.fastq,Locus_16S_Prey_463-2_S82_L001_R2_001.fastq
486.2,16S_Prey,Locus_16S_Prey_486-2_S83_L001_R1_001.fastq,Locus_16S_Prey_486-2_S83_L001_R2_001.fastq
487.2,16S_Prey,Locus_16S_Prey_487-2_S84_L001_R1_001.fastq,Locus_16S_Prey_487-2_S84_L001_R2_001.fastq
488.2,16S_Prey,Locus_16S_Prey_488-2_S85_L001_R1_001.fastq,Locus_16S_Prey_488-2_S85_L001_R2_001.fastq
510.2,16S_Prey,Locus_16S_Prey_510-2_S86_L001_R1_001.fastq,Locus_16S_Prey_510-2_S86_L001_R2_001.fastq
511.2,16S_Prey,Locus_16S_Prey_511-2_S87_L001_R1_001.fastq,Locus_16S_Prey_511-2_S87_L001_R2_001.fastq
512.2,16S_Prey,Locus_16S_Prey_512-2_S88_L001_R1_001.fastq,Locus_16S_Prey_512-2_S88_L001_R2_001.fastq
513.2,16S_Prey,Locus_16S_Prey_513-2_S89_L001_R1_001.fastq,Locus_16S_Prey_513-2_S89_L001_R2_001.fastq
779.2,16S_Prey,Locus_16S_Prey_779-2_S90_L001_R1_001.fastq,Locus_16S_Prey_779-2_S90_L001_R2_001.fastq
780.2,16S_Prey,Locus_16S_Prey_780-2_S91_L001_R1_001.fastq,Locus_16S_Prey_780-2_S91_L001_R2_001.fastq
782.2,16S_Prey,Locus_16S_Prey_782-2_S92_L001_R1_001.fastq,Locus_16S_Prey_782-2_S92_L001_R2_001.fastq
81.2,16S_Prey,Locus_16S_Prey_81-2_S93_L001_R1_001.fastq,Locus_16S_Prey_81-2_S93_L001_R2_001.fastq
82.2,16S_Prey,Locus_16S_Prey_82-2_S94_L001_R1_001.fastq,Locus_16S_Prey_82-2_S94_L001_R2_001.fastq
286.2,16S_Prey,Locus_16S_Prey_286-2_S95_L001_R1_001.fastq,Locus_16S_Prey_286-2_S95_L001_R2_001.fastq
344.2,16S_Prey,Locus_16S_Prey_344-2_S96_L001_R1_001.fastq,Locus_16S_Prey_344-2_S96_L001_R2_001.fastq
1573.1,16S_Prey,Locus_16S_Prey_1573-1_S97_L001_R1_001.fastq,Locus_16S_Prey_1573-1_S97_L001_R2_001.fastq
1574.1,16S_Prey,Locus_16S_Prey_1574-1_S98_L001_R1_001.fastq,Locus_16S_Prey_1574-1_S98_L001_R2_001.fastq
1719.1,16S_Prey,Locus_16S_Prey_1719-1_S99_L001_R1_001.fastq,Locus_16S_Prey_1719-1_S99_L001_R2_001.fastq
1720.1,16S_Prey,Locus_16S_Prey_1720-1_S100_L001_R1_001.fastq,Locus_16S_Prey_1720-1_S100_L001_R2_001.fastq
1723.1,16S_Prey,Locus_16S_Prey_1723-1_S101_L001_R1_001.fastq,Locus_16S_Prey_1723-1_S101_L001_R2_001.fastq
1725.1,16S_Prey,Locus_16S_Prey_1725-1_S102_L001_R1_001.fastq,Locus_16S_Prey_1725-1_S102_L001_R2_001.fastq
1745.1,16S_Prey,Locus_16S_Prey_1745-1_S103_L001_R1_001.fastq,Locus_16S_Prey_1745-1_S103_L001_R2_001.fastq
1746.1,16S_Prey,Locus_16S_Prey_1746-1_S104_L001_R1_001.fastq,Locus_16S_Prey_1746-1_S104_L001_R2_001.fastq
1756.1,16S_Prey,Locus_16S_Prey_1756-1_S105_L001_R1_001.fastq,Locus_16S_Prey_1756-1_S105_L001_R2_001.fastq
1769.1,16S_Prey,Locus_16S_Prey_1769-1_S106_L001_R1_001.fastq,Locus_16S_Prey_1769-1_S106_L001_R2_001.fastq
1770.1,16S_Prey,Locus_16S_Prey_1770-1_S107_L001_R1_001.fastq,Locus_16S_Prey_1770-1_S107_L001_R2_001.fastq
1779.1,16S_Prey,Locus_16S_Prey_1779-1_S108_L001_R1_001.fastq,Locus_16S_Prey_1779-1_S108_L001_R2_001.fastq
1573.2,16S_Prey,Locus_16S_Prey_1573-2_S109_L001_R1_001.fastq,Locus_16S_Prey_1573-2_S109_L001_R2_001.fastq
1574.2,16S_Prey,Locus_16S_Prey_1574-2_S110_L001_R1_001.fastq,Locus_16S_Prey_1574-2_S110_L001_R2_001.fastq
1719.2,16S_Prey,Locus_16S_Prey_1719-2_S111_L001_R1_001.fastq,Locus_16S_Prey_1719-2_S111_L001_R2_001.fastq
1720.2,16S_Prey,Locus_16S_Prey_1720-2_S112_L001_R1_001.fastq,Locus_16S_Prey_1720-2_S112_L001_R2_001.fastq
1723.2,16S_Prey,Locus_16S_Prey_1723-2_S113_L001_R1_001.fastq,Locus_16S_Prey_1723-2_S113_L001_R2_001.fastq
1725.2,16S_Prey,Locus_16S_Prey_1725-2_S114_L001_R1_001.fastq,Locus_16S_Prey_1725-2_S114_L001_R2_001.fastq
1745.2,16S_Prey,Locus_16S_Prey_1745-2_S115_L001_R1_001.fastq,Locus_16S_Prey_1745-2_S115_L001_R2_001.fastq
1746.2,16S_Prey,Locus_16S_Prey_1746-2_S116_L001_R1_001.fastq,Locus_16S_Prey_1746-2_S116_L001_R2_001.fastq
1756.2,16S_Prey,Locus_16S_Prey_1756-2_S117_L001_R1_001.fastq,Locus_16S_Prey_1756-2_S117_L001_R2_001.fastq
1769.2,16S_Prey,Locus_16S_Prey_1769-2_S118_L001_R1_001.fastq,Locus_16S_Prey_1769-2_S118_L001_R2_001.fastq
1770.2,16S_Prey,Locus_16S_Prey_1770-2_S119_L001_R1_001.fastq,Locus_16S_Prey_1770-2_S119_L001_R2_001.fastq
1779.2,16S_Prey,Locus_16S_Prey_1779-2_S120_L001_R1_001.fastq,Locus_16S_Prey_1779-2_S120_L001_R2_001.fastq
