Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
283-2,16S_Prey,179601,156734,155183,152733,149485,149485,137788
459-1,16S_Prey,111900,69423,68404,67969,67415,67415,61657
459-2,16S_Prey,143033,63573,62238,61406,60973,60973,58983
486-1,16S_Prey,69022,36152,35343,34321,34091,34091,30184
486-2,16S_Prey,187178,158357,156694,155847,153998,153998,142987
487-1,16S_Prey,31177,4523,4107,4098,4029,4029,3990
487-2,16S_Prey,118679,83923,83078,82303,81369,81369,75508
510-1,16S_Prey,341768,293824,291115,286433,284344,284344,254347
510-2,16S_Prey,394447,351930,349459,345200,340988,340988,301385
511-1,16S_Prey,267458,223089,221510,218344,216702,216702,195120
511-2,16S_Prey,134315,56599,54921,53693,53451,53451,51947
512-1,16S_Prey,155356,118339,116930,115789,114554,114554,104698
512-2,16S_Prey,112105,48699,47860,47416,46953,46953,42412
513-1,16S_Prey,123336,101461,100650,99105,97162,97162,86591
513-2,16S_Prey,109588,64453,63347,62892,61633,61633,57600
1273-1,16S_Prey,172611,139636,138601,136529,132777,132777,129667
1273-2,16S_Prey,63242,6404,5486,5325,5228,5228,5228
1535-1,16S_Prey,107492,70993,70064,69462,68687,68687,62370
1535-2,16S_Prey,125228,53000,51881,51513,51191,51191,50832
1537-1,16S_Prey,119454,68570,67192,66187,65177,65177,53930
1537-2,16S_Prey,111584,5369,3788,3538,3366,3366,3081
1548-1,16S_Prey,129725,48380,46610,45816,44976,44976,38804
1548-2,16S_Prey,507894,222382,218628,214806,211456,211456,195022
1755-1,16S_Prey,233864,186297,184364,179680,174809,174809,153165
1755-2,16S_Prey,168370,141151,140390,139783,138872,138872,135350
1756-1,16S_Prey,188779,147963,146627,145083,140804,140804,140016
1756-2,16S_Prey,41626,15080,14712,14563,14517,14517,14200
1780-1,16S_Prey,136615,112043,110146,108305,104079,104079,88046
1780-2,16S_Prey,105530,40330,38839,38161,37867,37867,35079
1210-1,16S_Prey,165199,69754,67915,67493,65228,65228,61731
1210-2,16S_Prey,160393,126663,125179,125092,124211,124211,122198
319-1,16S_Prey,31018,315,12,1,0,0,0
319-2,16S_Prey,130585,68325,67127,66686,66386,66386,66344
779-1,16S_Prey,106698,38602,36982,35485,34956,34956,33352
779-2,16S_Prey,164773,137017,136197,134769,133428,133428,114832
282-1,16S_Prey,121587,25428,24082,23764,22840,22840,21396
282-2,16S_Prey,367500,144256,140973,138910,134475,134475,114799
463-1,16S_Prey,122847,86226,85257,84326,82940,82940,79526
463-2,16S_Prey,274615,233706,231685,229620,227060,227060,167021
488-1,16S_Prey,72376,28681,27951,27761,27544,27544,27404
488-2,16S_Prey,123509,87495,86607,85339,84480,84480,79905
320-1,16S_Prey,206748,155948,155070,153252,148713,148713,138556
320-2,16S_Prey,186419,144142,142963,142141,140294,140294,139253
58-1,16S_Prey,231152,199634,197929,195399,190526,190526,163190
69-1,16S_Prey,139257,97013,96084,94744,92221,92221,79839
83-1,16S_Prey,309465,291227,289716,286414,281709,281709,242356
286-1,16S_Prey,168654,113129,112195,110655,110098,110098,99679
321-1,16S_Prey,164008,141493,140943,139679,137851,137851,136415
1225-1,16S_Prey,93841,66522,65933,64961,62837,62837,55363
1547-1,16S_Prey,160039,121134,120005,118201,115026,115026,94984
1723-1,16S_Prey,316834,299326,298299,296918,289621,289621,288828
801-1,16S_Prey,108015,51932,50724,50644,50344,50344,50344
802-1,16S_Prey,133399,94977,93724,93066,92719,92719,92635
287-1,16S_Prey,111558,66489,65449,64652,62883,62883,60947
287-2,16S_Prey,92749,52398,51383,50639,49513,49513,48075
318-1,16S_Prey,138980,97984,97518,96956,96830,96830,96795
318-2,16S_Prey,100684,78080,77254,76859,75651,75651,73787
1005-1,16S_Prey,122736,86388,85649,84562,83911,83911,81430
1005-2,16S_Prey,249749,163280,161202,159129,157448,157448,154346
1725-1,16S_Prey,197913,171864,170530,169594,168679,168679,162027
1725-2,16S_Prey,343504,298844,297745,294903,294235,294235,279851
