representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
6ec48ccd308868128aa82e3a23f4062cdc504e8d,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
d4d330ad0c28f4db0d1d53828d9070036fa43d19,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
fba2cec814708092c7d22bd25b562528c6acd371,8062,Merluccius,genus,0.999,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
656de8283603bde781b5e7a3c88b2dfccaf26887,30724,Clupea pallasii,species,0.9907,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
52fce09b2d8b0068879776197340a25097a4553a,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
e6137cc2debbcfe4b506530059f2920481068e06,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
272581d977dad1a2123f342ccb863c788d347b16,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
ad6ba130f37151ceadf230c16ac5f967407bb315,80721,Microgadus proximus,species,0.982,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
3fc11af2dde98f75a98d818baafaaaaaa10d8072,8256,Pleuronectidae,family,0.9633,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
f2923a396b30ea6c1c17ad135c79ca69fb52172f,68514,Myctophiformes,order,1,Metazoa,Chordata,Actinopteri,Myctophiformes,,,
d946fa379b0fad4f9a07f3044125b010cf46b09b,1489872,Percomorphaceae,no rank,1,Metazoa,Chordata,Actinopteri,,,,
336fc26c4178c74694a9ad199c58b72457cbc1cd,36211,Trachurus,genus,0.9999,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
90e17c12d380c41385e2d559fccb418afb371bf7,8157,Carangidae,family,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,,
36937664ad0e45d578d0fd56060c49a1ed8a264c,8256,Pleuronectidae,family,0.9341,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
65f7d5c6ffbc6ac0a8e5924da5c044b003621ac7,8256,Pleuronectidae,family,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
6646ab5dcf5405214a70749662f0eb1c9f2e5ac0,36211,Trachurus,genus,0.9999,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
c6537edb04abaa0a60733eb2f3f35a3719ff748a,186625,Clupeocephala,no rank,1,Metazoa,Chordata,Actinopteri,,,,
4573516d722257ade7607bf23726ea625de3d2c8,225387,Ophiodon elongatus,species,0.9991,Metazoa,Chordata,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus
c9bde02e360feb7d1f7346be80b129c6e8ec6c2b,195599,Citharichthys,genus,0.9999,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
dc473628fe3cfe650b6bf4b24e2ed135f7dd83d1,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
6c1ff9d4fef9b1f22239ed6ffef2072819415f57,7780,Raja,genus,1,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,
b47543f74ce9b1b92444c522eac1c0f2c2f62bf5,8092,Cottidae,family,0.9923,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
eaad758ec4307f0f0e6e4fe99b42172b8865c7b0,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
fcbb39ed214f9a4056d34bcd161b2f55bc4684ab,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
9297caf3b8ccfe9afa82fd5bfd2669ac62a78fac,8100,Cottioidei,suborder,1,Metazoa,Chordata,Actinopteri,Perciformes,,,
6d4f637431482f288a5844578bbd0af20dd7baca,1489388,Euteleosteomorpha,cohort,0.9992,Metazoa,Chordata,Actinopteri,,,,
29b88ab0e56daba915e247933bb7a50abf939ded,8062,Merluccius,genus,1,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,
6495f519bfed9658ae25bc78b139f6783442d41a,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
5195d8e6851745be8c5414a34461cdfedc97efbf,8256,Pleuronectidae,family,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
ebf1583fa485e53a5a1fec5b30a26dfb9e3e6b63,91657,Stenobrachius,genus,0.9989,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,
03317cbc8449f766b18fd1c8b485619dc71c99d7,7780,Raja,genus,0.9997,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,
255f3be99225e6c9fb37d17765fb2e094f07179f,274705,Sebastinae,subfamily,0.9901,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,,
aa145007f4bc36c4b50bc2a7b52c42463e49537f,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
fcf8bce20e93b7b411b0a04a0801ba84beecefbe,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
2a62b24577a7caec65f4b19d7a7af109ee3c7424,36211,Trachurus,genus,1,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,
e3c915ef954f340fd7443c1fc3b75d49a858383d,1489872,Percomorphaceae,no rank,1,Metazoa,Chordata,Actinopteri,,,,
a875689d2176b958c4cbc465ca0ef8c1eb76dbd3,7776,Gnathostomata,no rank,1,Metazoa,Chordata,,,,,
