Unique_ID,ID_mifish,ID_microscopy,ID_sebastes
Sebastes macdonaldi,Sebastes,Sebastes,Sebastes macdonaldi
Sebastes maliger,Sebastes,Sebastes,Sebastes maliger
Sebastes melanostomus,Sebastes,Sebastes,Sebastes melanostomus
Sebastes miniatus,Sebastes,Sebastes,Sebastes miniatus
Sebastes moseri,Sebastes,Sebastes,Sebastes moseri
Sebastes ovalis,Sebastes,Sebastes,Sebastes ovalis
Sebastes paucispinis,Sebastes,Sebastes,Sebastes paucispinis
Sebastes pinniger,Sebastes,Sebastes,Sebastes pinniger
Sebastes rastrelliger,Sebastes,Sebastes,Sebastes rastrelliger
Sebastes rosaceus.complex,Sebastes,Sebastes,Sebastes rosaceus.complex
Sebastes ruberrimus,Sebastes,Sebastes,Sebastes ruberrimus
Sebastes rufinanus,Sebastes,Sebastes,Sebastes rufinanus
Sebastes rufus,Sebastes,Sebastes,Sebastes rufus
Sebastes saxicola,Sebastes,Sebastes,Sebastes saxicola
Sebastes semicinctus,Sebastes,Sebastes,Sebastes semicinctus
Sebastes serranoides,Sebastes,Sebastes,Sebastes serranoides
Sebastes serriceps,Sebastes,Sebastes,Sebastes serriceps
Sebastes umbrosus,Sebastes,Sebastes,Sebastes umbrosus
Sebastes zacentrus,Sebastes,Sebastes,Sebastes zacentrus
Sebastolobus AANOTHER,Sebastolobus,Sebastolobus,MISSING
Sebastolobus altivelis,MISSING,Sebastolobus altivelis,MISSING
Seriola dorsalis,Seriola dorsalis,MISSING,MISSING
Spirinchus starksi,Spirinchus starksi,MISSING,MISSING
Stenobrachius AANOTHER,Stenobrachius,MISSING,MISSING
Stenobrachius leucopsarus,Stenobrachius leucopsarus,Stenobrachius leucopsarus,MISSING
Stenobrachius nannochir,Stenobrachius nannochir,MISSING,MISSING
Sternoptyx,Sternoptyx,Sternoptyx,MISSING
Stichaeidae,Stichaeidae,MISSING,MISSING
Stomias atriventer,Stomias atriventer,Stomias atriventer,MISSING
Symbolophorus californiensis,Symbolophorus californiensis,Symbolophorus californiensis,MISSING
Syngnathus leptorhynchus,Syngnathus leptorhynchus,MISSING,MISSING
Tarletonbeania crenularis,Tarletonbeania crenularis,Tarletonbeania crenularis,MISSING
Tetragonurus cuvieri,Tetragonurus cuvieri,Tetragonurus cuvieri,MISSING
Thunnus,Thunnus,MISSING,MISSING
Trachipterus altivelis,Trachipterus altivelis,Trachipterus altivelis,MISSING
Trachurus symmetricus,Trachurus symmetricus,Trachurus symmetricus,MISSING
Triphoturus mexicanus,Triphoturus mexicanus,Triphoturus mexicanus,MISSING
Vinciguerria sp.,Vinciguerria sp.,Vinciguerria lucetia,MISSING
Xystreurys liolepis,MISSING,Xystreurys liolepis,MISSING
Zaniolepis frenata,MISSING,Zaniolepis frenata,MISSING
Zaniolepis latipinnis,Zaniolepis latipinnis,Zaniolepis latipinnis,MISSING
Parophrys vetulus,Parophrys vetulus,MISSING,MISSING
Microstomus pacificus_clade,Microstomus pacificus_clade,MISSING,MISSING
