qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul,lamprey_task,lamprey_Ct,lamprey_copies_ul,eulachon_task,eulachon_Ct,eulachon_copies_ul
H9,E3,E01,gBlocks,26.77750587,0.092277908,UNKNOWN,35.40096283,2.478692532,STANDARD,32.90364075,10,STANDARD,33.52391434,10
H9,F1,5,gBlocks,26.64932823,-0.035899734,STANDARD,34.02190781,5,STANDARD,33.82584763,5,STANDARD,34.29336929,5
H9,F2,5,gBlocks,26.6537323,-0.031495667,STANDARD,35.48034668,5,STANDARD,33.79482269,5,STANDARD,34.3310585,5
H9,F3,5,gBlocks,26.65456772,-0.030660248,STANDARD,36.11172104,5,STANDARD,33.9031105,5,STANDARD,34.00858307,5
H9,G1,E00,gBlocks,26.76125908,0.076031113,STANDARD,35.97254944,1,UNKNOWN,36.56979752,0.5855757,STANDARD,Undetermined,1
H9,G2,E00,gBlocks,26.64175034,-0.043477631,STANDARD,Undetermined,1,STANDARD,36.02574158,1,STANDARD,36.08472061,1
H9,G3,E00,gBlocks,26.7349205,0.049692535,STANDARD,36.74147415,1,STANDARD,35.39789581,1,STANDARD,35.98095322,1
H9,H1,E00,gBlocks,26.66571426,-0.019513702,STANDARD,35.93024445,1,UNKNOWN,35.39816284,1.398740292,STANDARD,37.66563034,1
H9,H2,E00,gBlocks,26.60925484,-0.075973129,STANDARD,35.85250854,1,STANDARD,35.68014145,1,STANDARD,37.23313141,1
H9,H3,E00,gBlocks,26.5949173,-0.090310669,STANDARD,36.82078934,1,STANDARD,34.94636536,1,STANDARD,Undetermined,1
H10,A1,E05,gBlocks,29.54193115,3.007541445,STANDARD,19.42298126,100000,STANDARD,19.16858482,100000,STANDARD,20.21071815,100000
H10,A2,E05,gBlocks,30.44298744,3.908597734,STANDARD,18.98097992,100000,STANDARD,18.73818588,100000,STANDARD,19.80028152,100000
H10,A3,E05,gBlocks,30.14245415,3.60806444,STANDARD,19.10467911,100000,STANDARD,18.84551239,100000,STANDARD,19.87147331,100000
H10,B1,E04,gBlocks,26.73295784,0.198568132,STANDARD,22.27861404,10000,STANDARD,21.95595551,10000,STANDARD,23.03948784,10000
H10,B2,E04,gBlocks,26.73449326,0.200103548,STANDARD,22.27876472,10000,STANDARD,22.07438469,10000,STANDARD,23.17077065,10000
H10,B3,E04,gBlocks,26.67529297,0.140903261,STANDARD,22.19842148,10000,STANDARD,21.99694633,10000,STANDARD,23.00252724,10000
H10,C1,E03,gBlocks,26.39459419,-0.139795515,STANDARD,25.63395691,1000,STANDARD,25.31915474,1000,STANDARD,26.35710335,1000
H10,C2,E03,gBlocks,26.30881119,-0.22557852,STANDARD,25.61685181,1000,STANDARD,25.18784523,1000,STANDARD,26.22020721,1000
H10,C3,E03,gBlocks,26.23502541,-0.299364302,STANDARD,25.54725456,1000,STANDARD,25.30969048,1000,STANDARD,26.42909241,1000
H10,D1,E02,gBlocks,26.4217968,-0.112592909,STANDARD,28.58123207,100,STANDARD,28.33216095,100,STANDARD,29.38184166,100
H10,D2,E02,gBlocks,26.51338387,-0.021005842,STANDARD,28.74431801,100,STANDARD,28.32715225,100,STANDARD,29.62052917,100
H10,D3,E02,gBlocks,26.42851448,-0.105875227,STANDARD,28.70906448,100,STANDARD,28.07132149,100,STANDARD,29.47710037,100
H10,E1,E01,gBlocks,26.41827011,-0.116119597,STANDARD,32.27671432,10,STANDARD,32.01375198,10,STANDARD,33.07964325,10
H10,E2,E01,gBlocks,26.4598732,-0.074516508,STANDARD,32.06320953,10,STANDARD,31.23359299,10,STANDARD,32.8548584,10
