"","Species","MFU-52193-1024-1-d1","MFU-52193-1044-1-d1","MFU-52193-1048-1-d1","MFU-52193-1079-1-d1","MFU-52193-1091-1-d1","MFU-52193-1093-1-d1","MFU-52193-1099-1-d5","MFU-52193-1115-1-d1","MFU-52193-1139-1-d5","MFU-52193-1157-1-d1","MFU-52193-1201-1-d5","MFU-52193-1231-1-d1","MFU-52193-124-1-d1","MFU-52193-1243-1-d1","MFU-52193-1253-1-d1","MFU-52193-1267-1-d1","MFU-52193-1275-1-d5","MFU-52193-1279-1-d5","MFU-52193-1281-1-d1","MFU-52193-1295-1-d1","MFU-52193-1299-1-d5","MFU-52193-1314-1-d5","MFU-52193-1334-1-d1","MFU-52193-1385-1-d1","MFU-52193-1449-1-d1","MFU-52193-1453-1-d1","MFU-52193-1474-1-d1","MFU-52193-150-1-d5","MFU-52193-1501-1-d1","MFU-52193-1555-1-d1","MFU-52193-156-1-d1","MFU-52193-1575-1-d1","MFU-52193-1591-1-d1","MFU-52193-1682-1-d1","MFU-52193-170-1-d1","MFU-52193-1700-1-d1","MFU-52193-1735-1-d5","MFU-52193-178-1-d1","MFU-52193-1811-1-d1","MFU-52193-182-1-d1","MFU-52193-1861-1-d1","MFU-52193-1869-1-d1","MFU-52193-1871-1-d1","MFU-52193-202-1-d1","MFU-52193-227-1-d1","MFU-52193-294-1-d1","MFU-52193-300-1-d1","MFU-52193-332-1-d5","MFU-52193-338-1-d1","MFU-52193-352-1-d1","MFU-52193-372-1-d1","MFU-52193-408-1-d1","MFU-52193-423-1-d1","MFU-52193-435-1-d1","MFU-52193-506-1-d1","MFU-52193-517-1-d1","MFU-52193-529-1-d1","MFU-52193-617-1-d1","MFU-52193-62-1-d1","MFU-52193-645-1-d1","MFU-52193-700-1-d1","MFU-52193-72-1-d1","MFU-52193-734-1-d5","MFU-52193-789-1-d1","MFU-52193-808-1-d5","MFU-52193-823-1-d1","MFU-52193-847-1-d1","MFU-52193-874-1-d5","MFU-52193-878-1-d1","MFU-52193-898-1-d5","MFU-52193-910-1-d5","MFU-52193-977-1-d1","MFU-52193-979-1-d1","MFU-52193-991-1-d1","MFU-52193-993-1-d5","MFU-52193-997-1-d1"
"23","Eopsetta jordani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Gadus chalcogrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Gasterosteus aculeatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Hexagrammos decagrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Hydrolagus colliei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587
"28","Icichthys lockingtoni",0,0,0,0,0,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,2246,0,0,0,0,0,0,0,11060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,0,0,0,0,0,0,0,2573,20,0,0,0,0,0,0,0,0,0
"29","Lampadena urophaos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Lampanyctus tenuiformis",0,0,0,3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4912,0,0,0,0,0,7859,4509,0,0,0,0,0,0,0,0,0,0,0,0,1355,0,10246,1160,0,801,0,0,3290,0,0,0,2048,0,0,0,0,0,1445,0,0,0,0,0,0,0,0,0,0,0,1538,0,0,4086,0,0,0,0
"31","Leptocottus armatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Leuroglossus schmidti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2832,0,0,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
