"","Species","MFU-52193-1395-d5","MFU-52193-1397-d1","MFU-52193-1403-d5","MFU-52193-1409-d1","MFU-52193-1423-d1","MFU-52193-1436-d1","MFU-52193-1445-d1","MFU-52193-1447-d5","MFU-52193-1457-d5","MFU-52193-1460-d1","MFU-52193-1470-d1","MFU-52193-1472-d5","MFU-52193-1482-d1","MFU-52193-1485-d1","MFU-52193-1485-d5","MFU-52193-1495-d1","MFU-52193-1510-d5","MFU-52193-1517-d1","MFU-52193-1519-d5","MFU-52193-1525-d1","MFU-52193-1528-d5","MFU-52193-1530-d1","MFU-52193-1538-d1","MFU-52193-1542-d1","MFU-52193-1542-d5","MFU-52193-1547-d1","MFU-52193-1561-d5","MFU-52193-1571-d1","MFU-52193-1583-d1","MFU-52193-1585-d1","MFU-52193-1595-d1","MFU-52193-1598-d1","MFU-52193-1607-d1","MFU-52193-1611-d1","MFU-52193-1621-d1","MFU-52193-1633-d1","MFU-52193-1647-d1","MFU-52193-1653-d1","MFU-52193-1655-d1","MFU-52193-1662-d5","MFU-52193-1664-d1","MFU-52193-1671-d1","MFU-52193-1678-d1","MFU-52193-1680-d1","MFU-52193-1690-d1","MFU-52193-1694-d1","MFU-52193-1704-d1","MFU-52193-1716-d1","MFU-52193-1733-d1","MFU-52193-1746-d1","MFU-52193-1755-d1","MFU-52193-1767-d1","MFU-52193-1769-d1","MFU-52193-1779-d1","MFU-52193-1782-d1","MFU-52193-1792-d1","MFU-52193-1794-d1","MFU-52193-1804-d1","MFU-52193-1806-d1","MFU-52193-1816-d1","MFU-52193-1828-d5","MFU-52193-1834-d1","MFU-52193-1836-d1","MFU-52193-1836-d5","MFU-52193-1840-d1","MFU-52193-1843-d1","MFU-52193-1843-d5","MFU-52193-1853-d1","MFU-52193-1867-d1","MFU-52193-1867-d5","MFU-52193-1877-d1","MFU-52193-1879-d1","MFU-52193-1879-d5","MFU-52193-1887-d1","MFU-52193-1892-d1","MFU-52193-1898-d1","MFU-52193-1904-d1","MFU-NTC-d1","MFU-positive-control-d1"
"11","Citharichthys stigmaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,0,6776,15836,41,0,10456,0,0,18024,0,80073,0,0,0,0,32982,0,0,2878,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Clupea pallasii",0,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,206,0,0,0,0,0,3974,0,0,1039,0,0,0,0,0,0,0,5845,0,0,16588,1595,0,646,0,0,146,878,0,0,545,0,0,0,0,0,0,0,0,0,0,14446,1762,9297,89071,11724,0,0,0,0,0,0,3349,0,4919,63362,37606,13828,0,0
"13","Cololabis saira",0,22,64,308,412,0,0,0,0,0,0,17855,0,0,2922,0,36797,0,382,0,0,0,0,0,0,0,15815,0,0,311,0,436,0,0,0,0,4193,0,0,0,0,0,0,0,0,109,0,0,0,662,0,0,2280,0,7831,0,0,0,21696,0,13360,0,558,0,0,66,815,16,0,2538,16,12733,3159,0,0,0,0,0,0
"14","Diaphus theta",0,0,0,2374,252,14,3523,0,0,0,0,556,0,0,0,616,972,3024,524,0,0,0,0,0,3,0,0,3508,1184,0,10545,0,0,0,1842,0,0,0,0,34880,0,0,0,0,1069,0,0,0,0,0,0,0,0,10717,0,6533,0,10564,0,14632,0,0,0,0,0,0,0,0,0,0,36,0,1182,138,2619,2521,0,0,0
"15","Engraulis mordax",0,2317,39716,0,280136,21613,0,8253,0,0,133,7825,0,0,5270,0,24890,962,37712,631,738,9528,10714,78703,440,0,158173,0,0,15530,0,47092,0,0,0,0,226847,0,0,0,0,0,0,1987,0,14574,0,0,0,74289,0,0,123621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Eopsetta jordani",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Eschrichtius robustus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,120,0,0,0,0
"18","Gadus chalcogrammus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1616,0,0
"19","Hemilepidotus spinosus",0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Hydrolagus colliei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,504,0,0,0,0
"21","Icichthys lockingtoni",0,0,0,0,0,0,0,0,0,0,0,913,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,6122,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0
"22","Icosteus aenigmaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,0,1533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Lampanyctus tenuiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711,0,0,0,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Leptocottus armatus",0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Liparis fucensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Liparis pulchellus",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Lipolagus ochotensis",0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Megaptera novaeangliae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,19,0,0,0,0,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,12,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Merluccius productus",3,422,234,5773,94,27,4132,496,0,0,564,6921,1861,0,0,257,0,0,1947,1119,87,1400,7003,390,19,5080,0,7520,1119,4711,0,618,0,0,2278,0,312021,3644,0,0,0,0,0,18106,843,0,414,0,1621,0,0,8145,2445,0,35415,49217,2890,0,60075,0,9797,5987,0,0,4480,8,0,0,0,22022,157,0,0,6505,863,2561,2822,0,0
"30","Microgadus proximus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Mola mola",0,125,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4620,0,0,0,0,0,0,0
"32","Nannobrachium regale",0,0,0,0,230,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3811,0,0,0,0,0,0,0,0,0,0,880,0,6218,0,0,0,0,0,0,0
"33","Nansenia candida",0,0,0,0,0,31,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,9500,1015,109,5440,0,0,0,929,0,0,0,0,0,0,0,1318,1343,306,0,0,0,0,0,1809,675,0,6624,0,19424,0,8217,0,2439,0,0,0,0,0,713,0,0,0,1981,85,0,0,0,0,0,0,0,0
"34","Ophiodon elongatus",0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Orcinus orca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Peprilus simillimus",0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Phocoena phocoena",0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Pleuronichthys decurrens",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Prionace glauca",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Radulinus asprellus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,211,0,0,0,0
"41","Sardinops sagax",0,265,0,0,210,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1640,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Scomber japonicus",0,0,0,0,811,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13979,4482,58,11,0,0,3304,0,0,0,0,0,0,0
"43","Scorpaenichthys marmoratus",0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Sebastes auriculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,0
"45","Squalus suckleyi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,5477,0,0,0,0,0,0,0,0,0,0,406,117,0,0
"46","Stenobrachius leucopsarus",0,0,0,836,0,46,1907,0,0,0,0,0,514,0,0,136,0,1603,0,0,0,0,0,0,0,0,1888,2001,0,0,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,0,0,1305,0,0,1382,2796,5758,0,1001,1664,5832,0,0,0,0,0,8503,0,0,0,0,216,0,0,1855,727,0,0,0,0
"47","Sus scrofa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,45428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Symbolophorus californiensis",0,0,0,0,1509,195,0,148,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,801,0,1231,0,0,0,0,0,0,0,0,0,0,0,9200,0,0,0,0,0,0,1011,0,6886,0,5047,5408,0,0,0,0,0,0,0,0,0,10544,797,14,0,0,7,0,0,0,0,0,0,0,0
"49","Tactostoma macropus",0,0,87,0,698,45103,0,10088,0,0,0,28451,0,0,11602,0,11418,0,1366,0,2218,0,0,0,0,0,0,0,0,123,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,37,0,0,443,2391,106526,6719,32843,0,25105,1707,0,0,30,895,0,89816,40952,783,123,34670,0,67809,47295,0,0,0,0,0,0
"50","Tarletonbeania crenularis",68,0,1195,453,268479,63407,19000,19900,1320,0,2441,12326,0,0,11141,1861,8367,9554,3758,627,0,0,0,2338,7,0,20759,0,3195,63827,2483,1279,0,0,0,1465,0,0,1,0,0,0,0,1335,0,492,0,0,0,1835,0,523,3659,2454,0,20559,2682,3784,0,3164,0,0,0,0,0,37,0,0,0,206,60,1644,0,0,0,0,0,0,0
"51","Thunnus alalunga",0,0,130,0,422,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,500,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,0,861,0,1417,0,0,0,0,0,0,0,0,6269,834,7,0,0,0,6598,0,722,0,0,0,0,0
"52","Trachipterus altivelis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Trachurus symmetricus",0,449,707,1418,28312,1967,0,308,0,0,0,4482,605,0,2755,0,10368,0,2349,852,0,0,4912,0,2,0,2579,0,0,92,0,295,0,0,0,0,1418,0,0,18455,0,0,0,721,410,0,0,0,0,0,0,0,18985,3077,9436,0,4839,2031,14458,0,7666,0,3,4677,0,11227,1942,45,5,14973,0,2055,0,0,0,0,0,0,0
